lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24
# Adaptation terminated
# Step size = 0.624537
# Diagonal elements of inverse mass matrix:
# 0.000174185, 0.000138184, 0.000165724, 0.000178502, 0.0001466, 0.000144631, 0.000148097, 0.000179405, 0.000172796, 0.000172648, 0.000143872, 0.000125802, 0.000152233, 0.000155107, 0.000161621, 0.000150216, 0.000178312, 0.000179752, 0.000166177, 0.00013416, 0.000151586, 0.000155131, 0.00014407, 0.00015738, 0.000132294, 9.95734e-05
-3011.95,0.895093,0.624537,3,7,0,3024.76,5.87862,0.038414,0.019158,0.376493,0.255104,-0.581792,-0.853446,-0.103226,0.823045,-0.059262,-0.111474,0.194233,0.222266,0.109812,-0.0326794,0.0122118,0.101858,-0.0323885,-0.0119676,0.0334138,0.0440929,-0.0130058,-0.0283343,-0.0112755,-0.06294,0.982035,0.322291,-0.0237769,-0.097496,0.0870917,-0.74635,-0.758992,-0.224528,0.934721,-0.605469,-0.425354,1.58947,0.950372,0.9142,-0.0579973,0.166793,0.283797,-0.139328,-0.120285,0.0105626,0.0748211,-0.253888,-0.293999,-0.314928,-0.830849
-3018.34,0.496261,0.624537,3,7,0,3038.09,5.89077,0.0556698,-0.00234672,0.397271,0.264903,-0.615128,-0.837259,-0.0959125,0.832946,-0.0706443,-0.121343,0.176056,0.182099,0.10697,-0.0329462,5.19198e-05,0.117048,-0.0655076,0.0342136,0.0375867,0.0294859,-0.0108835,-0.0270629,-0.00682924,-0.00939784,0.985707,0.735248,-0.0512254,-0.0495973,0.111101,-0.808025,-0.667193,-0.154653,0.947715,-0.62033,-0.568613,1.40835,0.729637,0.910951,-0.0360406,0.162311,0.323996,-0.153302,0.0872319,0.0946962,0.0764199,-0.148835,-0.18692,-0.137469,-0.124058
-3010.79,0.96715,0.624537,3,7,0,3033.99,5.86909,0.0382052,0.00285333,0.402362,0.248049,-0.618937,-0.861341,-0.0829521,0.848233,-0.0490271,-0.127888,0.156675,0.231899,0.101179,-0.0136495,0.00831194,0.105453,-0.0255977,0.0203327,0.0248379,0.0360252,0.0210181,0.0162695,0.00505093,-0.0181679,0.993587,0.512919,-0.0370534,-0.135752,0.117731,-0.830149,-0.688751,-0.128231,0.94342,-0.480052,-0.616348,1.24831,1.03232,0.869194,0.00726717,0.16388,0.292882,0.00501947,0.144352,0.172784,0.263422,0.128268,0.0711501,0.0550847,-0.239828
-3009.12,1,0.624537,3,7,0,3024.91,5.88663,0.0448319,0.0266424,0.387559,0.261898,-0.601038,-0.820231,-0.117342,0.825776,-0.062459,-0.080156,0.179159,0.223661,0.0844053,-0.0217426,0.0229191,0.0761564,-0.0361019,-0.00559632,0.0428475,0.0111011,0.0158792,-0.041126,-0.0248025,-0.0372979,0.95435,0.153651,-0.0110364,-0.0261414,0.126383,-0.787553,-0.575639,-0.251229,0.92174,-0.592821,-0.179569,1.47368,1.027,0.716035,-0.044783,0.152113,0.21293,-0.135896,-0.0884452,0.0572661,-0.0900954,-0.106082,-0.339625,-0.505137,-0.492357
-3008.19,0.944622,0.624537,3,7,0,3023.35,5.86626,0.0356396,0.00156841,0.409492,0.23825,-0.609926,-0.861209,-0.0918565,0.843392,-0.0426731,-0.119857,0.160483,0.217713,0.12013,-0.0175913,0.00768543,0.0967959,-0.0318953,0.0161377,0.0148175,0.0314561,-0.000120064,0.0141243,0.00926373,-0.0100431,0.989135,0.499532,-0.0357507,-0.0951892,0.0800149,-0.820568,-0.746048,-0.160947,0.943974,-0.478429,-0.548122,1.26374,0.904923,1.0187,-0.00155299,0.149869,0.267025,-0.0318059,0.105281,0.11008,0.2176,0.0283961,0.0769233,0.144203,-0.132575
-3005.99,0.774737,0.624537,3,7,0,3025.42,5.88523,0.0509247,0.0379873,0.38416,0.25277,-0.618321,-0.816486,-0.109324,0.829433,-0.0663372,-0.0816437,0.161402,0.213094,0.0795527,-0.0181985,0.0186045,0.0818698,-0.0290283,0.00923051,0.0142878,0.00764348,0.0182734,-0.0238261,-0.0164284,-0.0390267,0.966036,0.0166064,-0.0012228,-0.067431,0.113145,-0.833029,-0.550191,-0.203021,0.919004,-0.581339,-0.230014,1.34144,0.976489,0.676767,-0.0347523,0.150606,0.228271,-0.102801,-0.0280606,-0.0237312,-0.0603351,-0.0436705,-0.229728,-0.361149,-0.515178
-3004.4,0.598202,0.624537,3,7,0,3024.75,5.87434,0.0250365,-0.0171053,0.391624,0.258766,-0.59502,-0.856405,-0.0996866,0.842502,-0.0428695,-0.109352,0.158168,0.231208,0.121065,-0.00713893,0.0181795,0.0903583,-0.0282532,-0.00305963,0.0418407,0.0313229,-0.003718,-0.00784589,0.00112382,-0.0164329,0.979199,0.728146,-0.0523107,-0.0764727,0.145211,-0.79843,-0.734746,-0.19569,0.934603,-0.505002,-0.454527,1.26052,0.984665,1.0245,-0.00706015,0.163109,0.250541,-0.0557003,0.00915494,0.160359,0.141071,-0.0652829,-0.0752897,-0.0107251,-0.216926
-3007.6,0.843727,0.624537,3,7,0,3016.53,5.88841,0.0545925,0.0267561,0.380107,0.238853,-0.589788,-0.82775,-0.104603,0.833035,-0.0301653,-0.119401,0.18233,0.207663,0.0947316,-0.0130041,0.00830058,0.0982358,-0.0267101,-0.00894833,0.0172089,-1.58766e-05,0.0100263,-0.0272073,-0.0051609,-0.0206822,0.992694,0.144656,-0.009233,-0.0870726,0.0905436,-0.781571,-0.695659,-0.190917,0.928422,-0.488732,-0.520936,1.49241,0.904029,0.818413,-0.028753,0.150799,0.271707,-0.103361,-0.0786451,-0.00213636,-0.089046,-0.0555901,-0.206069,-0.129074,-0.273019
-3008.13,0.924121,0.624537,3,7,0,3022.68,5.87636,0.0335454,-0.00371516,0.404827,0.234549,-0.625006,-0.850769,-0.113455,0.848808,-0.0794618,-0.08713,0.159412,0.240594,0.107765,-0.0186842,0.0076372,0.0906121,-0.037573,0.0213164,0.0369363,0.0409049,0.0130755,-0.00529577,-0.0299818,-0.0355685,0.98136,0.558968,-0.0407417,-0.0736865,0.0688626,-0.826693,-0.592604,-0.243731,0.945488,-0.62344,-0.253608,1.29363,1.07031,0.904556,-0.0198142,0.143307,0.253703,-0.0722177,0.074049,0.124488,0.17269,-0.0305512,-0.125718,-0.592966,-0.469527
-3006.76,0.832736,0.624537,3,7,0,3024.09,5.84893,0.0552291,0.00590941,0.370997,0.259642,-0.592059,-0.851147,-0.090121,0.838878,-0.0498195,-0.115118,0.175511,0.214423,0.104135,-0.0224202,0.0283057,0.0838275,-0.0428285,0.0062222,0.0197046,0.00635205,0.00493361,-0.0239855,0.0166954,-0.0109849,0.965104,0.532026,-0.0359839,-0.134154,0.119532,-0.766193,-0.711786,-0.153069,0.944781,-0.546726,-0.492258,1.40762,0.918726,0.889398,-0.0258701,0.1718,0.230457,-0.113178,0.00106531,0.042543,-0.0162834,-0.0377451,-0.147029,0.273085,-0.145008
