lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta.28,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,beta.26,beta.27,beta.28
# Adaptation terminated
# Step size = 0.570429
# Diagonal elements of inverse mass matrix:
# 0.000168011, 0.000162323, 0.000155924, 0.000164229, 0.00016694, 0.000157507, 0.000183601, 0.000156083, 0.000162896, 0.000171759, 0.000150171, 0.000180004, 0.000139449, 0.000192448, 0.000133819, 0.000150646, 0.000155075, 0.000163454, 0.000152013, 0.000152615, 0.000165268, 0.000169683, 0.000134891, 0.000172858, 0.000150941, 0.000168475, 0.000151173, 0.000174461, 0.000159253, 8.94431e-05
-3004.55,0.959433,0.570429,3,7,0,3021.44,5.87418,0.0473784,0.0168347,-0.0928017,0.0686345,-0.0994354,-0.0153928,0.357986,0.247442,-0.639554,-0.843691,-0.118716,0.833841,-0.0644803,-0.0881075,0.152226,0.222349,0.0841631,-0.0153603,0.017089,0.0902109,-0.0379796,-0.0238026,0.0344328,0.0205336,0.0023529,-0.0152982,0.00468053,-0.0181591,0.962165,0.848861,-0.0574036,-0.556234,0.0523331,-0.00387383,0.000426717,-0.0831793,0.090534,-0.863745,-0.51391,-0.278579,0.944393,-0.623502,-0.303155,1.28067,1.01363,0.737661,-0.0178903,0.160007,0.249515,-0.107213,-0.0776994,0.11343,0.0654304,-0.0528673,-0.120467,0.0487342,-0.23984
-2995.84,0.990308,0.570429,3,7,0,3013.71,5.87973,0.04171,0.0186886,-0.0874079,0.0343578,-0.0786061,-0.0418757,0.385365,0.225128,-0.614257,-0.851478,-0.0953614,0.819878,-0.0206319,-0.110955,0.146501,0.222553,0.0999226,-0.0126982,0.000686831,0.0838696,-0.0519993,0.017978,0.0272729,0.027774,0.0080833,-0.0265424,-0.00172834,-0.0138567,0.971173,0.428462,-0.0260067,-0.351142,0.0280637,0.115123,-0.00966517,-0.0781201,0.0715456,-0.834878,-0.671258,-0.217638,0.920714,-0.412647,-0.508315,1.22397,0.982477,0.858923,-0.0164344,0.117923,0.23327,-0.124557,0.0437693,0.0708638,0.0891043,-0.0519022,-0.188446,-0.0561464,-0.183015
-2992.63,0.736261,0.570429,3,7,0,3012.5,5.86656,0.0373412,0.00920436,-0.0819017,0.0552574,-0.0986714,-0.0220687,0.377233,0.248561,-0.599783,-0.852927,-0.0965188,0.833158,-0.0353355,-0.0856796,0.174216,0.225071,0.0937673,-0.00884376,0.0217465,0.0932254,-0.00996347,-0.0108835,0.0196395,0.0162601,0.00427127,-0.0286673,-0.0140847,-0.0296852,0.973715,0.81302,-0.0560094,-0.465819,0.0437676,0.00951996,-0.000935395,-0.0473554,0.110869,-0.774114,-0.643603,-0.225481,0.937129,-0.541259,-0.223499,1.45471,1.01393,0.806731,-0.0266734,0.175006,0.262159,-0.0712298,-0.0973137,-0.00970251,-0.026066,-0.115556,-0.242832,-0.303117,-0.392072
-2994.1,0.633136,0.570429,3,7,0,3006.06,5.88819,0.0472044,0.0135135,-0.0814967,0.0285547,-0.0860458,-0.0230041,0.381107,0.244624,-0.616672,-0.845336,-0.073532,0.821431,-0.0510857,-0.105903,0.159501,0.208058,0.0841649,-0.0122333,0.00128181,0.0859715,-0.0398366,0.00805885,0.0415929,0.0126807,0.0151018,-0.0203673,0.00214604,-0.0237916,0.977699,0.506546,-0.0339656,-0.187554,0.0161925,0.0352651,-0.00181684,-0.0913875,0.120415,-0.815486,-0.616795,-0.127124,0.927665,-0.561001,-0.445876,1.3173,0.942984,0.733496,-0.0151268,0.122131,0.239152,-0.0912196,0.0239924,0.13396,0.0119284,-0.0105668,-0.164132,-0.00634987,-0.314231
-2998.12,0.715311,0.570429,3,7,0,3006.87,5.87077,0.0469199,0.00126795,-0.104477,0.0431259,-0.0827485,-0.0376894,0.3788,0.230811,-0.586698,-0.842791,-0.105938,0.808139,-0.0378458,-0.105221,0.166319,0.223502,0.0814698,-0.0114944,0.0156339,0.0931117,-0.0186107,0.0190371,0.0396151,0.00610493,0.0106777,-0.00961733,-0.00727427,-0.0247972,0.979494,0.784735,-0.0516719,-0.395182,0.0329668,0.078606,-0.00677819,-0.0473484,0.0548772,-0.769807,-0.631926,-0.251677,0.910642,-0.497822,-0.413584,1.37309,1.04397,0.704763,-0.0125999,0.16317,0.260754,-0.0299177,0.0620555,0.129906,-0.0165834,-0.0163889,-0.110494,-0.174112,-0.327513
-2996.96,0.75583,0.570429,3,7,0,3015,5.88345,0.0372938,0.0269422,-0.0651568,0.0570612,-0.0942748,-0.00362,0.385619,0.243304,-0.629301,-0.851597,-0.0750591,0.847584,-0.0418878,-0.0915682,0.162235,0.216769,0.118001,-0.0112759,0.0147927,0.0867523,-0.0469554,0.000424078,0.0143775,0.0325697,0.00384787,-0.0305042,-0.012645,-0.022561,0.967897,0.561261,-0.0392223,-0.422257,0.0413771,-0.0442204,0.00580297,-0.0722716,0.143904,-0.817773,-0.6333,-0.153319,0.958802,-0.566313,-0.304499,1.34108,0.900509,1.00702,-0.0249847,0.150791,0.241973,-0.148551,-0.0491716,-0.0146321,0.0792238,-0.109743,-0.239875,-0.264544,-0.297979
-2998.33,0.912167,0.570429,3,7,0,3008.86,5.86759,0.0378961,0.00636964,-0.0914179,0.0523142,-0.0793423,-0.0145099,0.381524,0.25278,-0.60533,-0.858398,-0.109832,0.840428,-0.0560709,-0.117401,0.177104,0.21305,0.0969721,0.00744168,0.00692731,0.0950781,-0.0189735,0.00295767,0.0358855,0.020681,-0.00346808,-0.0410847,-0.00213497,-0.0061083,0.973635,0.828815,-0.056442,-0.469551,0.0419101,-0.0118503,0.00348412,-0.018641,0.117159,-0.804065,-0.663921,-0.239687,0.946123,-0.667862,-0.496744,1.46281,0.945077,0.842414,-0.00743326,0.147202,0.266912,-0.0717356,-0.0345316,0.0660107,0.00447508,-0.13951,-0.263955,-0.048931,-0.0806764
-3006.4,0.656026,0.570429,3,7,0,3015.96,5.89523,0.0394345,0.00379654,-0.0855128,0.0461865,-0.101037,-0.031994,0.378625,0.219573,-0.596216,-0.831537,-0.0769876,0.825192,-0.0114826,-0.0670491,0.137351,0.223307,0.0961766,-0.0273964,0.0139458,0.0809599,-0.0397837,0.00144501,0.026593,0.0306076,0.010098,0.00125615,-0.030665,-0.0460502,0.973274,0.749929,-0.0494654,-0.41209,0.0362036,0.0639452,-0.00662259,-0.08982,0.0546064,-0.733766,-0.557223,-0.172584,0.922011,-0.314308,-0.149531,1.15221,0.997239,0.811043,-0.0321447,0.142861,0.225958,-0.103206,-0.00773995,0.0696937,0.105391,-0.0481579,-0.107087,-0.625466,-0.608216
-3001.67,0.98823,0.570429,3,7,0,3018.33,5.868,0.0459979,0.0260553,-0.0682593,0.061238,-0.076202,-0.0213364,0.377378,0.260503,-0.605207,-0.824486,-0.0865859,0.83001,-0.0685376,-0.108135,0.159701,0.223675,0.105138,-0.00590805,0.0166253,0.0920573,-0.0114042,-0.00368658,0.0235582,0.0221618,-0.00681016,-0.0210096,0.0161842,-0.0235692,0.963133,0.596814,-0.0413171,-0.466194,0.0452635,0.0219472,-0.000240301,-0.0194156,0.198317,-0.771431,-0.541673,-0.181749,0.939497,-0.676817,-0.444374,1.31664,0.981005,0.901192,-0.014082,0.162896,0.257313,-0.0460625,-0.0379079,0.0462611,0.0503849,-0.113753,-0.152442,0.241281,-0.311295
-2998.75,0.98619,0.570429,3,7,0,3013.85,5.87357,0.0549277,0.0351172,-0.0590346,0.0570657,-0.0886271,-0.0341903,0.380555,0.244047,-0.615703,-0.84203,-0.0880918,0.843265,-0.0403359,-0.086114,0.140968,0.223525,0.0920254,-0.00872439,-0.000930174,0.0792763,-0.0331436,0.0158136,0.0159634,0.0349923,0.000112061,-0.0207153,-0.00171335,-0.0248639,0.983274,0.447444,-0.0290785,-0.490563,0.0470141,0.0728189,-0.00625534,-0.0631829,0.118374,-0.783124,-0.541991,-0.178814,0.938683,-0.488931,-0.293628,1.19805,1.01166,0.782979,-0.0165035,0.10922,0.221787,-0.08909,0.023198,0.0165153,0.120094,-0.0963002,-0.172339,-0.0763049,-0.328394
