lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24
# Adaptation terminated
# Step size = 0.537806
# Diagonal elements of inverse mass matrix:
# 0.000136524, 0.000168997, 0.000126187, 0.000141901, 0.000145312, 0.000204007, 0.000125565, 0.000137235, 0.000180338, 0.000159692, 0.00016283, 0.000146403, 0.000190045, 0.000155469, 0.00012465, 0.000157214, 0.000161537, 0.00015332, 0.000161704, 0.000154755, 0.000141755, 0.000136423, 0.000166471, 0.000160102, 0.000165154, 9.29084e-05
-3003.49,0.848271,0.537806,3,7,0,3017.35,5.87606,-0.107722,-0.0174555,0.367136,0.233905,-0.603457,-0.854413,-0.0864749,0.841557,-0.0583978,-0.112744,0.171895,0.213923,0.105925,-0.0113873,-0.000750028,0.0839764,-0.0454676,-0.000696815,0.00642944,0.0144945,-0.00176816,-0.0234001,0.00216475,-0.0241242,0.975182,0.0360619,-0.00257769,-0.120948,0.0892433,-0.78186,-0.692702,-0.148201,0.948156,-0.606092,-0.468367,1.42466,0.911621,0.913074,-0.0257851,0.110476,0.228776,-0.147233,-0.0558394,-0.0427659,-0.00694732,-0.106519,-0.181471,-0.00653316,-0.318342
-3004.49,0.936023,0.537806,3,7,0,3013.42,5.88159,-0.122472,0.00912521,0.381002,0.261261,-0.609556,-0.840302,-0.0924301,0.827951,-0.0703934,-0.0894151,0.170465,0.226991,0.113875,-0.0146162,0.0460437,0.0802964,-0.0288318,0.00243302,0.0444481,0.0371462,0.0049259,-0.00144632,-0.0184369,-0.0162748,0.977564,-0.0293375,0.00421452,-0.034167,0.166273,-0.800387,-0.621522,-0.199085,0.937092,-0.59655,-0.253225,1.33453,0.985725,0.96709,-0.00867115,0.200125,0.215161,-0.0454419,0.0387084,0.184345,0.186616,-0.0216749,-0.0564889,-0.354093,-0.214761
-3005.97,0.845995,0.537806,3,7,0,3018.4,5.87249,-0.128831,-0.0127375,0.377887,0.227953,-0.590396,-0.857215,-0.103382,0.821297,-0.0376714,-0.104304,0.167446,0.216152,0.0835453,-0.0201881,-0.0139041,0.0978753,-0.0409911,0.00264218,0.0141362,0.00441924,0.0108926,-0.0240832,0.00571204,-0.0321776,0.972128,0.00947338,-0.00105952,-0.0882181,0.0288207,-0.778643,-0.705874,-0.207673,0.919572,-0.472369,-0.40137,1.40538,0.97876,0.736143,-0.0317898,0.100896,0.265775,-0.130243,-0.0402193,-0.0107932,-0.0611767,-0.0510735,-0.196159,0.0409274,-0.424614
-3015.34,0.794926,0.537806,3,7,0,3023.69,5.9027,-0.111222,-0.0109648,0.378629,0.246573,-0.620972,-0.824443,-0.107464,0.843487,-0.0615597,-0.0925425,0.177808,0.242644,0.114345,-0.00724749,0.0542836,0.0735671,-0.0365367,0.0083322,0.0436386,0.0360387,0.0157044,-0.0220401,-0.0233225,-0.00243495,0.985507,0.0278451,-0.00210059,-0.0229898,0.169784,-0.80933,-0.54268,-0.252783,0.950529,-0.58988,-0.254247,1.40741,1.07053,0.975371,-0.00628212,0.207464,0.197532,-0.0709582,0.0422725,0.163797,0.160126,-0.000331192,-0.161241,-0.414381,-0.0321315
-3010.31,0.986161,0.537806,3,7,0,3028.55,5.87671,-0.134703,0.00687068,0.371917,0.252215,-0.602444,-0.8418,-0.0855921,0.828833,-0.0651314,-0.11853,0.15519,0.211982,0.104541,-0.0325863,0.0315649,0.101434,-0.0252465,-0.00121081,0.00583717,0.0394695,0.0223188,-0.00640804,0.0292328,-0.0366401,0.96659,-0.0383948,0.00418606,-0.0870129,0.117587,-0.772119,-0.62136,-0.15301,0.942037,-0.540026,-0.549349,1.22987,0.902569,0.903081,-0.0226292,0.197644,0.273726,-0.0474917,0.0168361,0.0425393,0.223159,0.0701829,-0.0732168,0.446047,-0.483501
-3007.85,0.930826,0.537806,3,7,0,3025.04,5.88245,-0.103232,-0.0119557,0.386638,0.241939,-0.60305,-0.854178,-0.11347,0.829488,-0.0403307,-0.0919053,0.182935,0.218244,0.0988779,0.00693485,0.0163855,0.0971382,-0.0355743,-0.00542409,0.0157831,0.014221,-0.00707354,-0.0379035,-0.0132698,-0.00289172,0.988545,0.0082765,0.000567523,-0.0223282,0.0953242,-0.835454,-0.738907,-0.245558,0.925582,-0.574564,-0.251203,1.53098,0.956442,0.866111,-0.014299,0.163041,0.264933,-0.133137,-0.0827788,-0.02472,-0.033326,-0.152509,-0.247322,-0.238554,-0.038159
-3008.88,0.935929,0.537806,3,7,0,3022.04,5.88109,-0.137871,-0.00062202,0.361693,0.24431,-0.608248,-0.854413,-0.0835447,0.829473,-0.070521,-0.111672,0.148967,0.22157,0.110536,-0.0293695,0.0205249,0.0778818,-0.0346546,0.0103291,0.0406091,0.0338546,0.034535,0.0106915,-0.000720499,-0.0386357,0.960708,-0.000503823,-1.67547e-05,-0.137103,0.104004,-0.788888,-0.635548,-0.154801,0.938329,-0.52335,-0.497249,1.14303,0.959854,0.94267,-0.0113894,0.143044,0.207284,-0.0314685,0.0986669,0.212119,0.218883,0.146787,-0.00454042,-0.0840548,-0.509835
-3003.37,0.992978,0.537806,3,7,0,3016.82,5.87079,-0.120013,0.00537085,0.384644,0.250712,-0.600691,-0.854164,-0.07698,0.817757,-0.0418364,-0.085908,0.177262,0.218512,0.100734,-0.0119382,0.0234881,0.101227,-0.0261331,-0.00239593,0.0206549,0.0171535,-0.00980487,-0.0019543,-0.0298441,-0.0202719,0.967816,-0.0311416,0.00436391,-0.0754819,0.128489,-0.8091,-0.742611,-0.146386,0.91891,-0.50735,-0.218732,1.45055,0.961065,0.867586,-0.0198982,0.183249,0.274257,-0.0825701,-0.0350229,0.0355785,0.0289117,-0.118082,-0.0783788,-0.561955,-0.267507
-3010.36,0.736641,0.537806,3,7,0,3020.13,5.89135,-0.119868,0.0217226,0.374374,0.248525,-0.60072,-0.853894,-0.116746,0.842481,-0.0708722,-0.113574,0.158987,0.239214,0.0878014,-0.00931868,-0.00332122,0.0723218,-0.0412099,0.00549485,0.0533876,0.0193909,0.0206222,-0.029548,0.00945325,-0.032938,0.965879,-0.0830926,0.0108157,-0.0577711,0.105647,-0.774419,-0.58555,-0.246635,0.93966,-0.596593,-0.482685,1.30977,1.11417,0.761892,-0.016321,0.0872326,0.194142,-0.098824,0.00995653,0.169659,0.030917,-0.0114853,-0.226592,0.105272,-0.434648
-3003.96,0.97826,0.537806,3,7,0,3018.12,5.86473,-0.128742,-0.006472,0.404416,0.236359,-0.601361,-0.855788,-0.086077,0.827434,-0.0531597,-0.0992636,0.172395,0.199318,0.105476,-0.0267347,0.0135138,0.0981408,-0.044593,0.0110793,0.0328948,0.0192333,0.0013285,0.0069447,-0.0189844,-0.0195118,0.964658,0.00493783,8.13896e-05,-0.0373288,0.0531827,-0.778021,-0.697607,-0.157256,0.939503,-0.510333,-0.35959,1.36261,0.841846,0.906877,-0.0196879,0.157764,0.263793,-0.0884196,0.0539322,0.130874,0.0891304,-0.0247444,-0.0121816,-0.369696,-0.257477
