lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.657781
# Diagonal elements of inverse mass matrix:
# 0.000161828, 0.000164222, 0.000155247, 0.000181325, 0.000167208, 0.000141105, 0.000141401, 0.000143922, 0.00015362, 0.000141104, 0.000181518, 0.000129587, 0.000158459, 0.000166349, 0.000161346, 0.000179709, 0.000148532, 0.000135879, 0.000125797, 0.000138347, 0.000171386, 0.000140385, 0.000196759
32.5019,0.569057,0.657781,2,3,0,-24.5621,6.7255,0.0229388,-0.096861,0.0407861,-0.173116,0.846751,-0.14535,-0.187293,0.100702,-0.0599254,0.00293451,-0.0948445,-0.0128952,0.0532726,-0.0145565,-0.0160037,0.0501987,0.0170639,0.0155666,-0.00837363,0.00614468,-0.0420695,0.588836,0.395008,-0.0291737,0.122484,-0.0708273,1.14575,-0.564319,-2.49259,0.554648,-0.755662,0.159551,-0.100961,0.0487713,0.147757,-0.048227,-0.0561336,0.13207,0.00664313,-0.0381068,-0.135578,-0.00903607,-0.4755
40.1715,0.898383,0.657781,3,7,0,-22.3189,6.7234,0.0276106,-0.0936768,0.0403809,-0.179778,0.854038,-0.152986,-0.201748,0.0980443,-0.0553337,0.022573,-0.066891,-0.00531443,0.0464069,0.00879097,-0.00767539,0.0216295,0.0186878,0.0370987,-0.0177735,0.015538,-0.0438834,0.586855,0.28685,-0.0212528,0.120781,-0.021611,1.12782,-0.655245,-2.74908,0.496254,-0.735515,0.356091,-0.0735448,0.0532929,0.130563,0.00916062,-0.0439892,0.0362262,0.0226222,0.035917,-0.179299,0.134087,-0.496001
38.3364,0.947982,0.657781,3,7,0,-31.6623,6.72432,0.0272794,-0.0882348,0.0111803,-0.187598,0.859832,-0.16434,-0.156165,0.104934,0.0184229,0.0174154,-0.13329,0.0290928,0.0514482,0.000208462,0.0224466,0.0247727,0.0284674,0.0361356,-0.00180475,0.0232206,-0.0115991,0.60469,0.364101,-0.027284,-0.0390777,-0.0913299,1.17758,-0.602474,-1.60952,0.766811,-0.142955,0.289525,-0.108995,0.132034,0.143313,0.0653819,0.13564,0.149149,0.181821,0.151811,-0.0104016,0.335939,-0.131101
36.5077,0.962046,0.657781,3,7,0,-27.3962,6.72936,0.0328951,-0.0937635,0.0622289,-0.170715,0.856261,-0.152754,-0.202229,0.10089,-0.053554,0.0294933,-0.0665645,-0.00452922,0.0438855,0.0199883,-0.000859459,0.0126533,0.0198459,0.0368821,-0.0152463,0.0333033,-0.045181,0.590136,0.276156,-0.0199708,0.189981,0.00774608,1.12939,-0.653092,-2.74686,0.494728,-0.74411,0.421496,-0.0688857,0.0518225,0.124096,0.0483528,-0.0145088,0.0217094,0.048825,0.0578284,-0.1488,0.410128,-0.510668
37.6195,0.975839,0.657781,3,7,0,-22.1483,6.72552,0.0278176,-0.0926269,0.00102586,-0.190094,0.855312,-0.160693,-0.162007,0.112032,0.0114709,0.0250075,-0.123463,0.0282915,0.0661296,-0.00575844,0.020231,0.0277573,0.0325508,0.0498535,0.00407356,0.0051193,-0.00871874,0.606118,0.442058,-0.0330398,-0.0629369,-0.0912888,1.17269,-0.603339,-1.67918,0.776276,-0.229393,0.396272,-0.0961935,0.149678,0.182895,0.0637916,0.150578,0.181717,0.223424,0.214319,0.00720359,0.0585901,-0.0985455
42.3226,0.952551,0.657781,3,7,0,-25.4356,6.7347,0.023786,-0.0909204,0.0240626,-0.173577,0.85969,-0.157353,-0.149215,0.101245,-0.00754435,0.0254326,-0.116813,0.0205266,0.0621726,0.0147084,0.0165111,0.0543301,0.032411,0.0452341,-0.00360405,0.0275373,-0.0457685,0.602732,0.395325,-0.0304696,0.035107,-0.0508073,1.16001,-0.568602,-1.64472,0.61161,-0.397253,0.395135,-0.104694,0.131497,0.175425,0.0930409,0.102373,0.214709,0.145757,0.118331,-0.0946211,0.318003,-0.517309
37.9664,0.678015,0.657781,3,7,0,-25.4948,6.72261,0.0195713,-0.0939554,0.0227259,-0.176101,0.845688,-0.148831,-0.159887,0.0953394,-0.00881248,0.0418231,-0.127084,0.027889,0.0511134,0.00107723,0.0179758,0.0476306,0.0312788,0.0525521,0.0155182,0.0427563,-0.0396698,0.6099,0.458234,-0.0345594,0.0238109,-0.07189,1.16396,-0.499191,-1.85148,0.509183,-0.4812,0.567454,-0.0988269,0.130658,0.143923,0.0960466,0.164395,0.263238,0.225323,0.231008,0.0386645,0.572584,-0.448376
43.8602,0.976445,0.657781,3,7,0,-29.7805,6.7226,0.0338158,-0.0950203,0.0336022,-0.165458,0.865919,-0.130713,-0.170835,0.108578,-0.0200344,0.0390549,-0.109507,0.021263,0.0384643,0.00521592,0.0284555,0.0334091,0.0199319,0.0363493,-0.00829309,0.0377674,-0.00809073,0.593984,0.441923,-0.0314514,0.0697563,-0.0111837,1.16778,-0.472619,-2.0164,0.592822,-0.517911,0.495988,-0.0864969,0.0988636,0.108958,0.0851087,0.157327,0.17981,0.143107,0.157952,-0.0204054,0.573448,-0.0914473
41.711,0.840153,0.657781,3,7,0,-31.5991,6.74016,0.0426947,-0.0849865,0.0178099,-0.177237,0.87609,-0.163723,-0.181701,0.082943,-0.0173199,0.0295424,-0.112585,0.0101933,0.041999,0.0294936,0.0285936,0.0139465,0.0188087,0.0259926,-0.0225136,0.0191368,-0.0168907,0.578659,0.302207,-0.0213632,0.0173739,-0.029349,1.16982,-0.624265,-2.38175,0.457937,-0.448293,0.380057,-0.104886,0.0808586,0.119277,0.0954725,0.0795866,0.0323832,0.0528009,0.0360387,-0.137699,0.258447,-0.190911
40.8508,0.888614,0.657781,3,7,0,-28.6899,6.71315,0.0198758,-0.0981665,0.0435896,-0.181218,0.842005,-0.154376,-0.17146,0.116892,-0.0181888,0.0231345,-0.0920733,0.0165992,0.064376,-0.021709,-0.0146269,0.0278884,0.0337298,0.0519242,0.000539061,0.0256655,-0.0533614,0.610341,0.395493,-0.0298723,0.0990139,-0.0587364,1.1425,-0.63973,-1.92032,0.777067,-0.476328,0.414531,-0.0865457,0.122257,0.178361,-0.0354634,-0.00709565,0.119952,0.155021,0.140491,-0.0923169,0.269508,-0.603129
