lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24
# Adaptation terminated
# Step size = 0.547635
# Diagonal elements of inverse mass matrix:
# 0.000135038, 9.85513e-05, 0.000125165, 0.000101926, 9.94657e-05, 0.000115292, 0.000100172, 0.000108933, 0.000102306, 8.97273e-05, 0.000135069, 0.000113374, 8.83377e-05, 0.000118011, 0.000119735, 0.000106702, 0.0001159, 0.000116253, 0.000103706, 9.81985e-05, 9.81742e-05, 9.78614e-05, 0.000101704, 0.000111445, 0.000121424, 0.000344155
5436.36,0.864174,0.547635,3,7,0,-5425.49,-1.55883,-0.0745747,0.0511156,0.133743,-0.117262,-0.174567,-0.0428876,0.023689,-0.110999,-0.0549231,-0.0746905,0.116986,0.145597,0.0715423,-0.0045007,0.0224382,0.0908887,-0.0295997,0.00778206,0.0297863,0.00929691,0.00583386,-0.0140882,-0.00207522,-0.0167519,7.86339,-0.300122,0.0254651,-0.0481242,0.0452778,-0.612124,-0.435779,-0.153488,-0.0438886,-0.473638,-0.299252,0.942307,0.621664,0.628419,-0.00645119,0.168513,0.250283,-0.073059,0.0141178,0.0870154,0.00188878,-0.0351774,-0.117279,-0.0675122,-0.221047
5438.38,0.819129,0.547635,3,7,0,-5426,-1.54988,-0.0696186,0.0322651,0.132965,-0.113105,-0.154687,-0.0543364,0.0129625,-0.123952,-0.0542076,-0.0887598,0.119062,0.170037,0.075549,-0.01896,0.014194,0.0689492,-0.0301214,-0.00232783,0.0199577,0.0107357,0.0158429,-0.00574028,0.000196037,-0.0237565,7.93146,-0.0972347,0.00710734,-0.0486839,0.0377563,-0.572334,-0.481267,-0.214992,-0.0496291,-0.452559,-0.415647,0.966058,0.746266,0.653179,-0.0163464,0.121641,0.189497,-0.0720711,-0.0054625,0.0687284,0.036494,0.0303695,-0.0765941,-0.0404733,-0.313475
5438.29,0.654148,0.547635,3,7,0,-5424.42,-1.54753,-0.0671541,0.0495878,0.136096,-0.119205,-0.169517,-0.0387677,0.0193069,-0.112344,-0.0504968,-0.0802719,0.114662,0.154376,0.074425,-0.00708143,0.0225772,0.0755306,-0.0297419,0.0100544,0.0383612,0.0146331,0.00485009,-0.0162724,0.00404007,-0.016178,7.85741,-0.278505,0.0244625,-0.0352418,0.0505504,-0.597569,-0.422875,-0.175015,-0.0460284,-0.440575,-0.34949,0.915348,0.669418,0.64453,-0.00687018,0.147971,0.207475,-0.065289,0.030724,0.126916,0.0336439,-0.0391146,-0.122947,0.0412215,-0.213474
5438.11,0.696881,0.547635,3,7,0,-5424.86,-1.55253,-0.0685671,0.0333603,0.127651,-0.123991,-0.1579,-0.0479626,0.0121315,-0.120164,-0.0478216,-0.0784419,0.114272,0.168688,0.0693288,-0.0169079,0.0120207,0.0823813,-0.0311317,-0.00147984,0.0208554,0.00792654,0.0153508,-0.00410197,-0.00421664,-0.0234946,7.67225,-0.143816,0.011023,-0.0643435,0.0126379,-0.571791,-0.438914,-0.213981,-0.0505407,-0.418053,-0.333284,0.939942,0.751731,0.608462,-0.0145488,0.135401,0.226507,-0.0748671,-0.0039947,0.0703267,0.0194038,0.0281257,-0.0709324,-0.117684,-0.31002
5432.45,0.573343,0.547635,3,7,0,-5423.44,-1.5604,-0.067487,0.0563437,0.123614,-0.119106,-0.169628,-0.0467422,0.0234011,-0.130601,-0.0454544,-0.0801577,0.115462,0.166036,0.0824173,-0.00869752,0.0096096,0.0736382,-0.0206871,-0.00109597,0.0350663,0.0256743,0.022775,-0.0118851,0.0124877,-0.0142033,8.12765,-0.280849,0.02517,-0.0783969,0.0640501,-0.626968,-0.493575,-0.183615,-0.0633173,-0.415811,-0.327975,0.904807,0.713613,0.717339,0.00110524,0.118106,0.201769,-0.0238043,0.0331379,0.160597,0.146043,0.0784274,-0.0837795,0.193612,-0.187418
5423.63,0.591699,0.547635,3,7,0,-5413.18,-1.54994,-0.072037,0.0251792,0.144977,-0.0989915,-0.163931,-0.0509731,0.0178771,-0.105054,-0.0354315,-0.087436,0.104463,0.160295,0.0655544,-0.0212508,0.0345004,0.0872851,-0.043648,-0.000211423,0.0324166,-0.00932078,-0.0132276,-0.00887282,-0.00642729,-0.0180784,7.62489,-0.0921696,0.00561653,-0.0186817,0.0678377,-0.576252,-0.429433,-0.181424,-0.0364373,-0.355133,-0.460422,0.874339,0.713107,0.572367,-0.0274619,0.188871,0.240054,-0.128867,-0.0358454,0.068194,-0.129179,-0.128514,-0.092666,-0.146592,-0.23855
5427.62,0.902751,0.547635,3,7,0,-5413.32,-1.54053,-0.0674851,0.0386492,0.137736,-0.1106,-0.16406,-0.0464084,0.0195217,-0.126224,-0.0559334,-0.0648814,0.126902,0.159269,0.0884263,0.00181602,0.00628952,0.0710953,-0.0188116,0.00788667,0.0291992,0.0335695,0.0377009,0.00241886,-0.00904111,-0.0143449,7.88045,-0.151988,0.0123389,-0.0160071,0.0710927,-0.603971,-0.490333,-0.19405,-0.0583077,-0.478063,-0.160265,0.974095,0.66536,0.766813,0.0174037,0.107814,0.194394,0.00456705,0.0897538,0.172413,0.230115,0.173076,-0.0203914,-0.185711,-0.189285
5424.39,0.755501,0.547635,3,7,0,-5409.09,-1.54272,-0.0798014,0.047329,0.136564,-0.11061,-0.16175,-0.050643,0.0141485,-0.13053,-0.0660427,-0.0706509,0.126142,0.153345,0.0930629,-0.00819774,0.00854344,0.0711168,-0.0169451,0.00783404,0.0179047,0.0315303,0.0325862,-0.00620201,-0.0163538,-0.0157496,8.10664,-0.211574,0.0171512,-0.0135643,0.0523776,-0.606002,-0.516634,-0.211237,-0.0573421,-0.52019,-0.225564,0.971213,0.618217,0.79851,0.000464766,0.113098,0.196153,-0.0160487,0.0531098,0.0910904,0.180717,0.11407,-0.0830082,-0.317064,-0.207822
5425.2,0.983895,0.547635,3,7,0,-5409.85,-1.54174,-0.0549313,0.0332022,0.13027,-0.12267,-0.163457,-0.0385128,0.0158187,-0.0981556,-0.0363136,-0.0966273,0.113345,0.16919,0.0623194,-0.0162468,0.0305817,0.0801406,-0.0485058,-0.00205215,0.0374016,-0.00582765,-0.00680967,-0.00883323,0.0146794,-0.0221052,7.65256,-0.164695,0.0143609,-0.0626909,0.0358839,-0.551102,-0.368336,-0.187371,-0.0269782,-0.376907,-0.511311,0.948026,0.769487,0.549517,-0.0187034,0.170356,0.219119,-0.126837,-0.0199645,0.110917,-0.0864399,-0.0802326,-0.0768854,0.21759,-0.291686
5432.61,1,0.547635,3,7,0,-5417.11,-1.55298,-0.0682607,0.0405522,0.127878,-0.112704,-0.154547,-0.047566,0.014155,-0.109772,-0.064069,-0.0613134,0.120226,0.164696,0.0698587,-0.0279891,0.00796096,0.0649735,-0.0304845,0.0190267,0.0309315,0.0188866,0.0191628,-0.00287726,0.00418297,-0.0316335,7.9473,-0.135415,0.0110114,-0.0427657,0.0179396,-0.513251,-0.367486,-0.206425,-0.0349933,-0.453692,-0.161961,0.956295,0.738868,0.598902,-0.0185726,0.10319,0.177322,-0.0488401,0.0792986,0.124126,0.0890806,0.0465774,-0.0688737,0.0151608,-0.417415
