lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25
# Adaptation terminated
# Step size = 0.591183
# Diagonal elements of inverse mass matrix:
# 0.000125237, 0.000156899, 0.000143893, 0.000177613, 0.000161766, 0.000137515, 0.000137354, 0.000156085, 0.000130706, 0.000150609, 0.000170933, 0.000151312, 0.000139355, 0.000136022, 0.000172046, 0.000144676, 0.000155833, 0.00014602, 0.000133904, 0.000163749, 0.00012973, 0.000179063, 0.000134843, 0.000143573, 0.000165363, 0.000138505, 0.000238397
34.896,0.5809,0.591183,3,7,0,-24.7809,6.72628,0.0379148,-0.0942852,0.188716,-0.0953742,0.0716869,-0.0283902,0.0149504,-0.11657,0.853357,-0.147892,-0.185974,0.0888017,-0.0130874,0.0500581,-0.0897288,-0.0262002,0.0586286,-0.0145886,-0.00116928,0.0141959,0.024039,0.0522545,-0.00550845,0.00590057,-0.032786,0.632335,0.571639,-0.0394956,-0.129764,0.011863,-0.104263,0.00961245,0.0525197,-0.0294617,1.17295,-0.693606,-2.37995,0.567091,-0.474701,0.671248,-0.0844511,0.0258872,0.16228,-0.0151014,0.0237374,0.0696258,0.113925,0.149316,-0.0983931,0.0101561,-0.372022
45.563,0.893818,0.591183,3,7,0,-20.8891,6.73451,0.0533201,-0.0873584,0.196846,-0.102587,0.0752957,-0.0409278,0.0144054,-0.119518,0.853825,-0.145143,-0.174718,0.0946026,-0.0148038,0.0463251,-0.0900035,-0.0154622,0.0623255,-0.0174609,0.00404159,0.0147262,0.0206873,0.0392055,-0.00236689,0.0127584,-0.0176064,0.610342,0.370241,-0.0242314,-0.0889238,0.0077566,-0.0468822,0.00305672,0.0481707,-0.0489921,1.17719,-0.680987,-2.18526,0.604531,-0.480148,0.625955,-0.0787905,0.0535966,0.171671,-0.00913887,0.0565245,0.0918563,0.125043,0.140668,-0.0386402,0.15632,-0.19978
46.1715,0.869329,0.591183,3,7,0,-28.4332,6.71496,0.00724762,-0.0948534,0.15139,-0.0917187,0.101964,-0.0670177,0.018497,-0.11641,0.842058,-0.121447,-0.167998,0.0910234,-0.0330864,0.00964504,-0.0917239,0.039537,0.0501647,0.0183921,0.00475257,0.0314468,0.0254917,0.029919,-0.0245891,0.0270203,-0.0350342,0.583054,0.421833,-0.0275133,-0.313877,0.0215079,0.120483,-0.0125915,0.0674839,-0.0717222,1.14217,-0.535795,-2.21369,0.551324,-0.509504,0.194572,-0.0961435,0.152008,0.140576,0.0525033,0.00644644,0.0792839,0.0577818,0.0171907,-0.181879,0.336744,-0.397532
46.0289,0.953265,0.591183,3,7,0,-33.6679,6.73659,0.0529147,-0.0883529,0.198493,-0.101531,0.0781143,-0.0350822,0.0148917,-0.115724,0.853426,-0.14155,-0.175067,0.0881993,-0.0158936,0.0460939,-0.0895138,-0.0155085,0.0632333,-0.0131754,0.00505589,0.00412386,0.0211128,0.0377066,-0.00379726,0.0158323,-0.0200371,0.607316,0.396512,-0.025942,-0.0828577,0.007063,-0.0688303,0.0062437,0.0498261,-0.0393658,1.17126,-0.665683,-2.24816,0.558185,-0.49022,0.622779,-0.0797348,0.0546218,0.174365,-0.00705171,0.0460779,0.0460111,0.119654,0.128354,-0.0483992,0.19855,-0.22736
42.9333,0.93686,0.591183,3,7,0,-31.5962,6.75037,0.0174444,-0.111648,0.169446,-0.0845365,0.0906683,-0.0529602,-0.00149031,-0.10333,0.838517,-0.135186,-0.170657,0.0977288,-0.00694181,0.00897866,-0.086881,0.0210983,0.0342264,-0.000314031,-0.0054403,0.0379166,0.0348368,0.0602502,-0.0241311,0.0249964,-0.0352304,0.59065,0.822931,-0.0566583,-0.275358,0.0228849,0.0657309,-0.00727379,-0.00580492,-0.0159547,1.13883,-0.611145,-2.02186,0.690493,-0.269696,0.202587,-0.0851521,0.0900872,0.0973644,0.026326,0.0170496,0.144866,0.142151,0.147909,-0.182195,0.304409,-0.399759
46.2925,0.9866,0.591183,3,7,0,-32.9274,6.73536,0.0288254,-0.0909483,0.190142,-0.105565,0.0951684,-0.0563711,-0.00191369,-0.0984772,0.838183,-0.152086,-0.176505,0.0924734,-0.0171701,0.0278327,-0.0876698,0.0246657,0.029139,0.00824956,-0.0119833,0.018425,0.0491338,0.0357329,-0.0225984,0.0190583,-0.0315558,0.600286,0.33693,-0.023292,-0.0472025,0.00267826,0.0720624,-0.00817811,0.00107483,-0.00757843,1.14504,-0.701189,-2.26282,0.611423,-0.414961,0.370737,-0.0890185,0.0911508,0.0833052,0.023673,-0.0298004,0.0560513,0.187678,0.0467898,-0.172311,0.220257,-0.358064
48.0607,0.866793,0.591183,3,7,0,-32.212,6.73662,0.0390153,-0.0972555,0.189664,-0.103419,0.0843315,-0.0421474,0.00752221,-0.108781,0.837038,-0.159419,-0.180356,0.091164,-0.019476,0.0299726,-0.0905963,0.0279714,0.0404371,0.0046564,-0.00940762,0.0259881,0.0313502,0.050883,-0.0295861,0.0256942,-0.021538,0.604782,0.470989,-0.0328315,-0.03989,0.00309143,-0.0200226,0.00129744,0.0324353,-0.0310585,1.15651,-0.739077,-2.31713,0.566113,-0.460989,0.434355,-0.0878238,0.112304,0.114367,0.0263475,-0.00714868,0.0975479,0.125664,0.121683,-0.179162,0.349913,-0.244391
48.1582,0.861041,0.591183,3,7,0,-36.0433,6.72189,0.0206801,-0.086527,0.162749,-0.0880774,0.0966704,-0.0651036,0.0254961,-0.136457,0.858038,-0.109444,-0.162024,0.0932335,-0.024844,0.0262648,-0.088781,-0.00293015,0.0730417,0.000793068,0.0175938,0.0148656,0.0152376,0.0100009,-0.000201111,0.0149747,-0.0305204,0.584982,0.351937,-0.0211744,-0.400752,0.0300167,0.0868691,-0.0096284,0.078728,-0.106197,1.15732,-0.499974,-2.08584,0.603612,-0.491669,0.383338,-0.0875635,0.096937,0.200725,0.0165352,0.0517882,0.0393357,0.0431231,-0.00535855,-0.0542132,0.158624,-0.346315
50.2002,0.78697,0.591183,3,7,0,-32.0172,6.71833,0.0342618,-0.0970742,0.170825,-0.0912677,0.097475,-0.0462264,0.00361218,-0.111365,0.849545,-0.15744,-0.178537,0.0951657,-0.00547433,0.0369267,-0.0812834,0.0207613,0.0537232,-0.00927522,-0.00359625,0.0138934,0.0318334,0.0502188,-0.00593552,0.0206,-0.0212892,0.608805,0.528935,-0.0350407,-0.208409,0.0158746,0.00292795,-0.000217174,0.00982631,-0.0172997,1.16709,-0.749964,-2.20341,0.642687,-0.359196,0.522637,-0.0692465,0.115729,0.148908,0.0156145,0.0445064,0.101586,0.185637,0.179389,-0.0573011,0.270398,-0.241568
50.1645,0.952971,0.591183,3,7,0,-40.2027,6.73412,0.0275744,-0.0867895,0.180619,-0.0869736,0.0893724,-0.0577637,0.0254017,-0.124656,0.833741,-0.12235,-0.163788,0.0810291,-0.0329777,0.0183345,-0.097887,0.00110896,0.055358,0.00744757,0.011335,0.0406145,0.0164368,0.0186925,-0.0225331,0.0233993,-0.0431713,0.579381,0.411043,-0.0273106,-0.306171,0.0255492,0.0725932,-0.00807905,0.0906785,-0.0960759,1.13384,-0.523583,-2.19801,0.482074,-0.536251,0.285079,-0.108093,0.0812653,0.154339,0.0147904,0.00624021,0.0824912,-0.0156873,-0.0470723,-0.193741,0.25926,-0.489864
