lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.62114
# Diagonal elements of inverse mass matrix:
# 0.000183372, 0.000152469, 0.000175409, 0.000134368, 0.000152172, 0.000173331, 0.00015374, 0.00017539, 0.000161522, 0.000173831, 0.000146867, 0.00013074, 0.000153656, 0.000153854, 0.000150743, 0.000165254, 0.000112544, 0.000153265, 0.000182365, 0.000156152, 0.000144652, 0.00014747, 0.000804034
2469.3,0.818425,0.62114,3,7,0,-2462.83,-1.43232,-0.0212708,0.00171896,-0.00376037,0.0342463,-0.0680093,-0.141815,-0.188652,0.110099,-0.0237967,0.0245104,-0.105519,0.0290104,0.0503009,0.00271061,-0.0116473,0.00694026,0.0527733,0.0416414,0.00219382,0.0370047,-0.00778598,16.504,0.120138,-0.0151297,0.0516981,-0.0565688,0.172263,-0.52564,-2.31862,0.640845,-0.509412,0.377977,-0.0779665,0.123464,0.13262,0.0686661,0.0625299,0.131378,0.340587,0.209486,0.0352968,0.562255,-0.0879696
2469.93,0.982103,0.62114,3,7,0,-2460.11,-1.43335,-0.0449936,0.0306811,0.0199118,0.0293588,-0.0972938,-0.160746,-0.20735,0.114154,-0.023031,0.0505628,-0.0845152,0.00668081,0.0650401,-0.00359218,0.000820618,0.0239716,0.000335458,0.0356134,-0.00285394,0.0263771,-0.0208978,14.5291,-0.0408459,0.00160685,0.14662,-0.0130852,0.13826,-0.677985,-2.59501,0.657541,-0.54051,0.672616,-0.0745267,0.096988,0.170642,0.01919,0.0384693,0.112634,0.0231342,0.130527,-0.0338349,0.362317,-0.236113
2472.44,0.998373,0.62114,3,7,0,-2463.41,-1.42647,-0.0379845,0.0292642,0.00809781,0.0240202,-0.0936735,-0.156191,-0.208874,0.119224,-0.0260693,0.0491883,-0.0730007,0.00993713,0.068697,-0.0151252,0.00118644,0.0218351,0.0165009,0.0331431,-0.00647034,0.0273084,-0.0154361,14.7279,-0.0480454,0.00276732,0.111688,-0.0229995,0.137457,-0.679239,-2.60299,0.69954,-0.561195,0.658245,-0.0624112,0.108868,0.180712,-0.00630812,0.0465513,0.113613,0.102545,0.122522,-0.0394475,0.390644,-0.174404
2472.68,0.961253,0.62114,3,7,0,-2464.37,-1.43732,-0.0355272,0.000490851,0.00174705,0.0391863,-0.0710881,-0.146647,-0.187057,0.109256,-0.0169088,0.0238616,-0.103927,0.0234702,0.0388922,0.0249502,-0.0021957,0.0223222,0.0352739,0.0462028,0.00549433,0.0379845,-0.0125026,16.2511,0.134045,-0.017795,0.0687308,-0.0259001,0.159067,-0.525676,-2.26518,0.617129,-0.416401,0.344872,-0.0763956,0.0957482,0.0997862,0.137942,0.0961718,0.183439,0.259607,0.229317,0.0430946,0.565839,-0.14126
2469.71,0.769452,0.62114,3,7,0,-2460.74,-1.43557,-0.0136503,0.037056,0.00105163,0.0262577,-0.0866942,-0.160284,-0.20641,0.123231,-0.013639,0.027106,-0.0945556,0.0110216,0.0676966,-0.0130632,0.00337037,0.00257481,0.0294001,0.0462902,-0.0324726,0.0269821,-0.0133948,15.5479,-0.0353776,0.00486375,0.0770494,-0.0408661,0.150849,-0.687805,-2.44457,0.833577,-0.404431,0.429037,-0.0889383,0.108473,0.179859,-0.0276914,0.0118671,0.0103156,0.118857,0.11288,-0.173683,0.39063,-0.151341
2472.66,0.845384,0.62114,3,7,0,-2458.31,-1.4408,-0.058123,0.00372213,0.0228417,0.0347126,-0.0868258,-0.140918,-0.198369,0.0989801,-0.0316855,0.0405839,-0.0725724,0.0224319,0.0548045,0.0132023,-0.0113512,0.0235463,0.0272818,0.0307822,0.0173635,0.0371229,-0.017983,15.7871,0.0434796,-0.0105272,0.150153,-0.00882707,0.12811,-0.557052,-2.62458,0.486537,-0.585382,0.548646,-0.0496679,0.116563,0.14285,0.0975949,0.0644848,0.181542,0.219963,0.182082,0.0927271,0.538559,-0.20318
2473.23,0.844303,0.62114,3,7,0,-2461.44,-1.42872,-0.0135693,0.034686,-0.00946654,0.0259485,-0.0854719,-0.159385,-0.190272,0.123705,-0.0113147,0.0272602,-0.106928,0.0128579,0.0576719,-0.0132787,0.0125783,0.0124431,0.0191687,0.0441961,-0.0103979,0.031504,-0.0214913,15.5444,0.00860468,7.89212e-06,0.0371674,-0.0595857,0.158912,-0.632541,-2.16444,0.816259,-0.383486,0.405492,-0.0937445,0.0993667,0.151366,0.000732448,0.0729848,0.0780946,0.111589,0.151451,-0.0696508,0.441432,-0.242818
2474.09,0.905077,0.62114,3,7,0,-2463.98,-1.42779,-0.0459383,0.0067683,0.0160109,0.0424632,-0.0817615,-0.132098,-0.196835,0.0953667,-0.0321736,0.0364494,-0.0874554,0.0252647,0.0488858,0.00189373,-0.0191605,0.00939241,0.0250469,0.0287042,0.0112145,0.0308614,-0.0166805,15.2047,0.0598328,-0.0108998,0.12504,-0.00819014,0.141241,-0.517702,-2.61232,0.501685,-0.592675,0.507796,-0.0681941,0.115301,0.129707,0.0429038,0.0131803,0.108111,0.186744,0.152468,0.0559263,0.443385,-0.188464
2473.55,0.664393,0.62114,3,7,0,-2459.36,-1.44546,-0.0228276,0.030397,-0.00374556,0.0090687,-0.0949727,-0.158907,-0.193658,0.127276,-0.00959887,0.0317583,-0.0924895,0.0133654,0.0611039,0.00503882,0.0106025,0.034033,0.016765,0.0463962,-0.00763204,0.034672,-0.0205533,15.5539,-0.00235375,6.35651e-05,0.0540462,-0.0764126,0.137596,-0.634276,-2.20183,0.800837,-0.365073,0.457138,-0.0775206,0.104055,0.158189,0.0662072,0.0922678,0.169934,0.114473,0.173872,-0.0491828,0.493587,-0.232221
2471.53,0.629986,0.62114,3,7,0,-2458.47,-1.42833,-0.0330232,0.0100123,0.0216603,0.04852,-0.0618397,-0.14986,-0.195874,0.0948096,-0.0386272,0.0435315,-0.0886415,0.0265911,0.0502361,-0.00476173,-0.0159943,0.00460488,0.0241061,0.0302226,2.91776e-05,0.0200024,-0.0185519,15.8424,0.0439464,-0.00799931,0.153366,0.0115167,0.170403,-0.610797,-2.63215,0.485235,-0.668373,0.579452,-0.0768322,0.119563,0.133957,0.00409893,-0.0119474,0.0540866,0.140758,0.113186,-0.0202144,0.267976,-0.209608
2466.05,0.507385,0.62114,3,7,0,-2450.57,-1.4649,-0.0441326,0.0365932,0.00729341,0.0105658,-0.110244,-0.158521,-0.215604,0.129671,-0.00489895,0.0169415,-0.0920623,0.0190835,0.0764434,0.011771,0.0133693,0.0118132,0.0241751,0.0450407,-0.00311184,0.0431175,-0.0194994,15.981,-0.0554589,0.00429139,0.0834159,-0.0803178,0.123165,-0.64025,-2.52897,0.86509,-0.293551,0.319785,-0.0724536,0.136241,0.199374,0.0861552,0.103855,0.10939,0.171515,0.191443,-0.0131657,0.629004,-0.220313
2473.08,0.979655,0.62114,3,7,0,-2460.74,-1.41723,-0.0220715,0.00583643,0.00967321,0.0484686,-0.0678528,-0.142661,-0.186468,0.106919,-0.0352689,0.0437922,-0.0901624,0.024416,0.0483277,-0.00712199,-0.0161947,0.0276216,0.0291941,0.0310813,0.00468418,0.0244498,-0.0209629,15.6191,0.0967564,-0.012732,0.11594,0.00521413,0.16586,-0.559877,-2.37038,0.56685,-0.640961,0.578251,-0.0755438,0.112468,0.127263,0.0192877,0.0166281,0.154072,0.178844,0.129171,0.00402467,0.331854,-0.236849
2472.63,0.94806,0.62114,3,7,0,-2463.75,-1.44849,-0.0463396,0.034441,-0.000723803,0.0136411,-0.102691,-0.157391,-0.202884,0.116506,-0.0106388,0.0227543,-0.0919872,0.0144894,0.06574,0.0127547,0.0130188,0.00350861,0.0212498,0.0464489,-0.0034355,0.0432638,-0.0171456,15.8916,-0.0476977,0.00296486,0.0595792,-0.0747926,0.124277,-0.630719,-2.44334,0.734934,-0.357252,0.36912,-0.0716015,0.112694,0.171757,0.0854696,0.0993239,0.0816687,0.162625,0.201827,-0.00928971,0.637202,-0.19372
2470.37,0.829323,0.62114,3,7,0,-2461.27,-1.414,-0.0390674,0.00385784,0.0281982,0.0412743,-0.0675399,-0.136044,-0.17955,0.105217,-0.0309529,0.0365326,-0.0814294,0.0303341,0.0511887,-0.00237652,-0.0138511,0.0384708,0.0237381,0.0339772,0.0146457,0.0242918,-0.0243149,15.0759,0.0691668,-0.0114482,0.166121,-0.00187914,0.153366,-0.522191,-2.25077,0.55791,-0.56744,0.503746,-0.0639568,0.128026,0.133352,0.0489907,0.0456566,0.211115,0.174749,0.161578,0.049197,0.32097,-0.274721
