lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24
# Adaptation terminated
# Step size = 0.557149
# Diagonal elements of inverse mass matrix:
# 0.000126202, 0.000130228, 0.000116353, 0.000124338, 0.000104978, 0.000107053, 0.00010539, 9.7689e-05, 0.000128372, 0.000115275, 0.000111093, 0.000108004, 9.74687e-05, 0.000104536, 0.000113051, 8.4725e-05, 0.000104356, 0.000113647, 9.42015e-05, 0.00011784, 9.48297e-05, 9.69195e-05, 9.51587e-05, 0.000101663, 0.000114306, 0.000317738
5428.56,0.984836,0.557149,3,7,0,-5414.99,-1.55896,0.000390416,-0.00974566,0.118069,-0.0865047,-0.16056,-0.0540304,0.0365326,-0.121703,-0.0438546,-0.0925676,0.119735,0.164467,0.0760322,-0.0247454,0.0116264,0.0723128,-0.0333854,0.0115366,0.0140745,0.00707554,0.0262562,-0.000897633,0.0074263,-0.00685696,7.97775,0.286823,-0.0210994,-0.0945576,0.0870371,-0.540916,-0.451702,-0.149586,-0.0371085,-0.3883,-0.444165,0.941383,0.711854,0.659835,-0.0106064,0.122385,0.199184,-0.0474922,0.0761829,0.0919342,0.0722798,0.132094,-0.00994239,0.117816,-0.0905163
5428.55,0.999545,0.557149,3,7,0,-5420.84,-1.53658,0.00703649,-0.00384101,0.15144,-0.109582,-0.174023,-0.0542452,0.00981732,-0.135629,-0.0660417,-0.0750446,0.126509,0.156774,0.0722167,-0.0181079,0.0169036,0.0778292,-0.0212032,0.00220399,0.0426616,0.0149653,0.00142166,-0.0155633,-0.00705189,-0.0358957,7.62592,0.112918,-0.00933196,-0.00713743,0.00763046,-0.613876,-0.4693,-0.234522,-0.0548558,-0.51123,-0.283262,1.01539,0.689157,0.611543,-0.0277033,0.143486,0.217578,-0.0640125,-0.0176403,0.110785,-0.00585052,-0.0972483,-0.164713,-0.19053,-0.473847
5430.27,1,0.557149,3,7,0,-5422.02,-1.55863,-0.00653267,-0.0109715,0.132779,-0.0855523,-0.169779,-0.0500739,0.034376,-0.117825,-0.0476342,-0.0879932,0.119106,0.165482,0.0768584,-0.0254858,0.0139555,0.0749711,-0.0338412,0.00641564,0.0137683,0.0128155,0.0278475,0.00175759,0.00930061,-0.00791408,8.00775,0.274276,-0.0208643,-0.0599758,0.0932527,-0.553403,-0.417654,-0.15698,-0.0315486,-0.404043,-0.403478,0.934932,0.713117,0.668155,-0.00913345,0.130723,0.206221,-0.0452294,0.069431,0.10242,0.115684,0.147406,0.00612651,0.1488,-0.104471
5429.72,0.838651,0.557149,3,7,0,-5419.18,-1.54533,0.0125122,-0.00370351,0.140823,-0.116383,-0.177137,-0.057083,0.00973541,-0.141425,-0.0616811,-0.0790618,0.126343,0.156209,0.0712382,-0.0174338,0.0198288,0.075063,-0.0217674,0.00725014,0.0454185,0.0111387,0.00549453,-0.0100005,-0.00554268,-0.0371917,7.69809,0.131005,-0.0101131,-0.0443402,-0.00902525,-0.635757,-0.495764,-0.235993,-0.0613933,-0.483479,-0.318303,1.00336,0.690479,0.603845,-0.0231664,0.145876,0.210036,-0.0529414,0.0121173,0.135876,-0.0103081,-0.0620834,-0.131901,-0.166406,-0.490955
5422.24,0.718692,0.557149,3,7,0,-5411.6,-1.55798,0.00225935,-0.0089062,0.130185,-0.0751534,-0.179845,-0.0410985,0.0417049,-0.112818,-0.0433972,-0.0829893,0.120915,0.172224,0.0600224,-0.019684,0.0119229,0.0623663,-0.0330819,-0.00756732,0.0229785,0.0311744,0.0310753,-0.024576,0.00315261,-0.016704,7.94267,0.269431,-0.0193708,-0.0694434,0.141731,-0.569559,-0.374563,-0.128124,-0.0359924,-0.396187,-0.359031,0.991235,0.793242,0.522729,-0.0182259,0.109422,0.172801,-0.0762186,-0.013351,0.0877359,0.147388,0.0764743,-0.174618,0.0244325,-0.220504
5421.58,0.985845,0.557149,3,7,0,-5410.61,-1.55902,0.00277977,-0.00560752,0.138726,-0.131589,-0.162876,-0.0665481,0.00380779,-0.144585,-0.0559452,-0.0838494,0.125395,0.152797,0.0859705,-0.0248544,0.0196441,0.084513,-0.0183501,0.0148139,0.0327795,-0.00639439,-0.00163364,0.0107436,0.00277457,-0.0240521,7.84596,0.129305,-0.010914,-0.0528146,-0.0664115,-0.607449,-0.545426,-0.262592,-0.0570975,-0.450489,-0.3598,0.963292,0.633625,0.730659,-0.0180925,0.157932,0.234528,-0.0230284,0.0637213,0.127201,-0.0477774,-0.0170597,0.0250544,0.00415882,-0.317504
5430.69,1,0.557149,3,7,0,-5414.21,-1.55474,0.00334562,-0.0145602,0.126323,-0.0995643,-0.177651,-0.0558314,0.0214439,-0.135157,-0.056226,-0.0912029,0.128565,0.165942,0.0704084,-0.027426,0.0230551,0.0804799,-0.0110466,0.0134539,0.0303433,0.0300677,0.0204762,-0.010773,0.0031634,-0.000767162,7.859,0.371847,-0.0276846,-0.083699,0.0403416,-0.607577,-0.458759,-0.207106,-0.048346,-0.434009,-0.409272,0.995741,0.74336,0.604256,-0.0116142,0.159484,0.225172,0.015951,0.0906094,0.15504,0.184237,0.0819222,-0.0631046,0.0541808,-0.010127
5428.39,0.89459,0.557149,3,7,0,-5420.99,-1.54032,-0.000129613,-0.00323945,0.142735,-0.105006,-0.168841,-0.0491005,0.0205527,-0.123597,-0.0560795,-0.0643534,0.110935,0.15714,0.082002,-0.0101795,0.0169193,0.0756196,-0.0492014,0.00674382,0.0309988,0.00944301,0.0096269,0.0118105,0.00517727,-0.0355332,7.72367,0.0340975,-0.00385118,-0.0208807,0.0352581,-0.577855,-0.430657,-0.195603,-0.0453019,-0.460304,-0.2131,0.886697,0.657629,0.704558,-0.00592818,0.138849,0.207548,-0.0963013,0.0494404,0.134229,0.0506703,0.028819,0.0136181,0.0250972,-0.469062
5428.84,0.449215,0.557149,3,7,0,-5406.11,-1.54211,-0.0102231,-0.0121553,0.140396,-0.104822,-0.166302,-0.0374339,0.0106268,-0.129745,-0.0592764,-0.0672102,0.119556,0.15165,0.0804776,-0.0126468,0.0186692,0.080579,-0.0312803,0.00280177,0.0201989,-0.00403971,0.0148792,-0.00730136,0.00426,-0.0333279,7.63668,0.189513,-0.0156083,0.00779927,0.0403065,-0.582865,-0.421565,-0.225867,-0.0499717,-0.4978,-0.222927,0.95763,0.629533,0.693969,-0.0188153,0.148318,0.222568,-0.0848218,-0.00764374,0.0463982,-0.068321,0.0098905,-0.0987152,0.0130645,-0.43995
5425.18,0.77368,0.557149,3,7,0,-5417.37,-1.56015,0.00719719,0.00686537,0.126305,-0.0947106,-0.16722,-0.072138,0.0294703,-0.128466,-0.0494461,-0.0921451,0.127236,0.164321,0.0539056,-0.0386793,0.023043,0.0562309,-0.0217423,0.0108514,0.0396231,0.0094191,0.0118784,-0.0206679,-0.00436027,-0.00445488,7.88305,0.0856311,-0.00698112,-0.117803,0.0159195,-0.567869,-0.478008,-0.171763,-0.0431581,-0.378822,-0.445875,1.00407,0.777689,0.458317,-0.0323134,0.12566,0.157407,-0.0396698,0.040756,0.137856,0.0114944,-0.00202016,-0.137051,-0.084904,-0.0588074
