lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24
# Adaptation terminated
# Step size = 0.576095
# Diagonal elements of inverse mass matrix:
# 0.000164312, 0.00017903, 0.00016406, 0.00019961, 0.0001867, 0.000169526, 0.000145894, 0.000160612, 0.000172322, 0.000146563, 0.000169662, 0.000169028, 0.000156327, 0.000159236, 0.000171682, 0.000153381, 0.000166131, 0.000145662, 0.000168116, 0.000158033, 0.000138369, 0.000146824, 0.000148967, 0.000172063, 0.000158815, 9.62234e-05
-3003.09,0.857445,0.576095,3,7,0,3014.02,5.87288,-0.0458195,0.0376133,0.393969,0.271252,-0.613712,-0.858636,-0.102218,0.828004,-0.0447553,-0.0954546,0.154437,0.239974,0.113051,-0.0242096,0.00653651,0.116625,-0.0274342,0.00241671,0.020585,0.0304392,-0.0137752,-0.00743956,-0.0157762,-0.0126138,0.970547,-0.064958,0.00379764,-0.030241,0.150356,-0.810375,-0.658249,-0.257876,0.934646,-0.488516,-0.343747,1.27395,1.04416,0.967347,-0.0230444,0.172357,0.322083,-0.075622,-0.00874438,0.0481511,0.11341,-0.128055,-0.0843507,-0.301097,-0.166443
-2999.12,0.855426,0.576095,3,7,0,3017.43,5.88718,-0.0528509,0.0642027,0.399286,0.236269,-0.610739,-0.847925,-0.0902259,0.820513,-0.0522973,-0.101122,0.175998,0.197501,0.0932919,-0.000856786,0.0225486,0.0779866,-0.0385998,-0.00179598,0.0395675,0.00534147,0.0163303,-0.0247271,-0.00328866,-0.0255226,0.979193,-0.321046,0.0289363,-0.058318,0.060556,-0.831526,-0.703275,-0.171229,0.923899,-0.58009,-0.374292,1.41769,0.858403,0.808302,-0.00998542,0.151104,0.215311,-0.109194,-0.0307641,0.103523,-0.0485276,-0.0230007,-0.198607,-0.105094,-0.336779
-3006.41,0.594471,0.576095,3,7,0,3014.8,5.86414,-0.04617,0.0489092,0.423542,0.250761,-0.599286,-0.845299,-0.098981,0.808058,-0.027149,-0.0894382,0.161152,0.222404,0.0907623,-0.0173953,0.0121654,0.0804408,-0.0389964,-0.00410283,0.0332595,0.0141364,0.011195,-0.0168922,0.00764818,-0.0545798,0.964131,-0.167296,0.0149475,0.0189336,0.0906946,-0.803612,-0.687233,-0.230281,0.905341,-0.419592,-0.290657,1.33499,0.999926,0.778322,-0.0284171,0.133288,0.22168,-0.121295,-0.0520859,0.0646333,-0.016655,-0.0657401,-0.19071,0.0337463,-0.720199
-3004.77,0.93724,0.576095,3,7,0,3020.25,5.88149,-0.0411261,0.0487765,0.370389,0.239515,-0.615516,-0.846308,-0.0755611,0.845411,-0.060371,-0.0970295,0.162376,0.236494,0.12207,0.0126969,0.0193133,0.109485,-0.0287809,0.0161879,0.0328112,0.0288081,0.0192712,-0.0209271,-0.0306061,-0.00621364,0.983195,-0.254742,0.02155,-0.123274,0.154128,-0.805853,-0.635393,-0.154838,0.94357,-0.618756,-0.319143,1.30554,1.01095,1.05416,0.0107496,0.187895,0.302975,-0.0594668,0.0500085,0.106447,0.111045,0.0066747,-0.170757,-0.550375,-0.0819911
-3003.73,0.908407,0.576095,3,7,0,3018.76,5.87322,-0.0469722,0.059188,0.406917,0.251773,-0.598666,-0.852554,-0.109354,0.814219,-0.0393533,-0.0976281,0.163761,0.205403,0.0822969,-0.0301938,0.0218404,0.0755007,-0.0364208,-0.0114771,0.0267351,0.0178649,-0.00608605,-0.0075947,0.0114298,-0.0368894,0.963686,-0.206707,0.0191035,-0.0158672,0.0314283,-0.787204,-0.670981,-0.244439,0.922016,-0.452322,-0.384881,1.34715,0.923599,0.701211,-0.033334,0.146883,0.207494,-0.10822,-0.0577844,0.064315,0.0355227,-0.100266,-0.0989946,0.133038,-0.486769
-3003.95,0.957196,0.576095,3,7,0,3015.31,5.88068,-0.0414245,0.0499928,0.382437,0.240972,-0.616027,-0.839027,-0.0793306,0.845369,-0.0652712,-0.0983648,0.163796,0.24109,0.120784,0.0128685,0.0141843,0.110777,-0.0299784,0.0168211,0.0327293,0.0257718,0.0186581,-0.0236336,-0.0305412,-0.00905747,0.98334,-0.270821,0.0232186,-0.0838828,0.16774,-0.800413,-0.60203,-0.168655,0.944035,-0.646091,-0.325213,1.32774,1.03935,1.04437,0.00812883,0.179203,0.306786,-0.0690465,0.041566,0.0938769,0.0809335,-0.00816571,-0.192128,-0.55449,-0.119516
-3002.57,0.802793,0.576095,3,7,0,3020.41,5.87919,-0.0434277,0.0577199,0.402531,0.233398,-0.600421,-0.857438,-0.10466,0.81111,-0.0292461,-0.0963049,0.151715,0.209839,0.0872067,-0.0283394,0.0300072,0.0793711,-0.032048,-0.0119054,0.0212555,0.0145587,-0.00380577,-0.00936295,-0.0209941,-0.0320768,0.965752,-0.242331,0.0222176,-0.0617787,0.00150072,-0.816733,-0.716159,-0.236775,0.911381,-0.39695,-0.404784,1.25736,0.937946,0.739285,-0.0373536,0.169696,0.220006,-0.113224,-0.081966,0.0185142,-0.00756199,-0.117092,-0.136019,-0.428955,-0.423264
-3003.67,0.890815,0.576095,3,7,0,3014.67,5.87514,-0.0450591,0.051906,0.376227,0.259961,-0.61466,-0.836007,-0.0821643,0.848816,-0.0743257,-0.0989197,0.175627,0.231648,0.114418,0.0115364,0.00492875,0.106768,-0.0301907,0.0168803,0.0359306,0.022691,0.0194937,-0.0254521,0.00234338,-0.014888,0.982443,-0.237627,0.020229,-0.0626503,0.196389,-0.776298,-0.569379,-0.164872,0.953434,-0.699186,-0.300654,1.41382,1.00084,0.99576,0.010321,0.153806,0.294313,-0.0606982,0.0547323,0.120658,0.0796391,0.0145255,-0.17816,0.0137328,-0.196453
-3005.89,0.773683,0.576095,3,7,0,3019.4,5.87372,-0.0319333,0.0468626,0.382657,0.2581,-0.61957,-0.833467,-0.0842173,0.850773,-0.0810639,-0.0851523,0.173059,0.22449,0.109319,0.00817298,0.0162959,0.0996272,-0.0288271,0.028168,0.0456075,0.0122047,0.0155284,-0.0342436,-0.0171721,-0.023852,0.975281,-0.199387,0.0178268,-0.0437956,0.182251,-0.78468,-0.541237,-0.165913,0.951517,-0.71059,-0.196484,1.39235,0.981677,0.942139,-0.00339864,0.16803,0.275842,-0.0779046,0.0494394,0.10418,-0.041863,-0.0631195,-0.268274,-0.346453,-0.314735
-3003.18,0.910431,0.576095,3,7,0,3018.56,5.86166,-0.0481417,0.0577487,0.382259,0.254722,-0.621501,-0.844314,-0.0972966,0.849054,-0.0657087,-0.0875716,0.179909,0.219671,0.111896,-0.000618046,0.0243133,0.114085,-0.0315947,0.0188642,0.0432404,0.0122952,0.0206311,-0.0384671,-0.0122631,-0.0242263,0.979063,-0.291633,0.0250749,-0.0405572,0.141687,-0.802511,-0.595025,-0.214698,0.955429,-0.651214,-0.20881,1.43845,0.939162,0.971842,-0.0111463,0.203691,0.316036,-0.0910871,0.0181414,0.0946918,-0.0411006,-0.0430096,-0.28928,-0.260712,-0.319674
-3001.4,0.989919,0.576095,3,7,0,3012.72,5.87285,-0.0612975,0.0486575,0.401823,0.224077,-0.617969,-0.845289,-0.111572,0.820952,-0.0522961,-0.0943858,0.170455,0.228263,0.0992601,-0.0299677,0.0205276,0.0903887,-0.0367789,-0.00781298,0.0166367,0.0326674,0.0208227,-0.00980116,-0.0212607,-0.0335579,0.967411,-0.183782,0.0143796,-0.0513461,0.0155821,-0.814427,-0.621322,-0.280068,0.93442,-0.523427,-0.319745,1.39399,1.00591,0.849292,-0.0302823,0.164526,0.250258,-0.101472,-0.0380504,0.0380936,0.131552,0.00900514,-0.141581,-0.436387,-0.442809
-3010.71,0.614952,0.576095,3,7,0,3018.18,5.86676,-0.0244433,0.0544725,0.373613,0.277008,-0.607327,-0.847262,-0.0756185,0.84276,-0.0641793,-0.106661,0.159063,0.213266,0.0983768,0.0188614,0.00460366,0.105372,-0.0343649,0.00243546,0.0423511,0.00215352,-0.0270781,-0.0175594,0.00390763,-0.00448465,0.975292,-0.247684,0.0235661,-0.0783725,0.20429,-0.797954,-0.640933,-0.11432,0.938056,-0.655366,-0.439877,1.32347,0.938257,0.857527,0.00762762,0.152688,0.289973,-0.100139,-0.0213426,0.109076,-0.0707447,-0.192122,-0.110225,0.0605101,-0.0591765
-3006.48,1,0.576095,3,7,0,3021.54,5.85971,-0.0283759,0.0551852,0.373815,0.268005,-0.609329,-0.852481,-0.0924123,0.844765,-0.0546465,-0.0985617,0.161714,0.22715,0.103548,0.0104107,0.0108769,0.117171,-0.0392672,-0.0133435,0.0367831,0.00413956,-0.0235488,-0.0146883,0.00066751,-0.00583313,0.96874,-0.27322,0.0253461,-0.0715081,0.166631,-0.799101,-0.636287,-0.189677,0.94547,-0.620149,-0.359508,1.35458,0.992584,0.906702,0.000252225,0.181508,0.322828,-0.120141,-0.0697421,0.0928725,-0.0517365,-0.171376,-0.0986749,0.000967671,-0.0769702
-3003.58,0.978637,0.576095,3,7,0,3017.81,5.89259,-0.0470931,0.0633037,0.395967,0.225452,-0.60942,-0.842689,-0.0876738,0.803287,-0.0437168,-0.105173,0.168521,0.222967,0.10992,-0.025673,0.0204144,0.0720342,-0.0430954,0.00301741,0.0192141,0.0227824,0.0349458,-0.018462,-0.0149073,-0.02171,0.982575,-0.2455,0.0227163,-0.0861302,0.0606558,-0.824579,-0.706415,-0.208134,0.915129,-0.493084,-0.416111,1.34669,0.953891,0.93928,-0.0228884,0.138602,0.199333,-0.102758,0.00785113,0.0607624,0.0929003,0.0862569,-0.166345,-0.302617,-0.286472
-3003.98,0.813063,0.576095,3,7,0,3019.62,5.86154,-0.0434881,0.0476959,0.382194,0.267115,-0.605324,-0.855732,-0.0977532,0.855888,-0.0559491,-0.0897612,0.158709,0.224601,0.0919224,0.00787662,0.0153402,0.114142,-0.0262648,0.00209007,0.039906,0.0225069,-0.0246143,-0.0157611,-0.00396637,-0.0237306,0.965659,-0.243641,0.0204553,-0.0509743,0.133282,-0.767811,-0.593682,-0.196334,0.949509,-0.585283,-0.286444,1.33327,1.01681,0.795418,-0.00441149,0.186973,0.314924,-0.0860888,-0.031006,0.0889441,0.0239921,-0.213285,-0.14179,-0.113714,-0.313134
-3006.09,0.936034,0.576095,3,7,0,3015.77,5.8928,-0.0447696,0.0612592,0.398753,0.225306,-0.609293,-0.837728,-0.0901209,0.803271,-0.0489951,-0.105661,0.168783,0.221,0.110398,-0.0257128,0.0160061,0.0718338,-0.0465281,0.00275409,0.0171377,0.0167175,0.0443865,-0.0160462,-0.0149202,-0.0238759,0.981965,-0.226408,0.0211631,-0.0702581,0.0615749,-0.818901,-0.683671,-0.213149,0.916933,-0.517652,-0.419336,1.34496,0.93928,0.9482,-0.0213582,0.128828,0.198478,-0.107122,0.013247,0.061269,0.0718679,0.138856,-0.155536,-0.306847,-0.315051
-3005.32,0.951736,0.576095,3,7,0,3019.75,5.87345,-0.0409668,0.0468579,0.376746,0.273733,-0.612896,-0.841243,-0.101294,0.860383,-0.0416071,-0.0915242,0.174701,0.218111,0.0939819,0.011712,0.0234087,0.0996631,-0.0361529,0.0115252,0.0360131,0.0415097,-0.01252,-0.00779705,-0.00387716,-0.0199107,0.963504,-0.21107,0.0177759,-0.033459,0.158438,-0.770114,-0.571531,-0.207765,0.957328,-0.534425,-0.267821,1.43775,0.975549,0.807578,0.00919402,0.183546,0.273964,-0.0779134,0.0394894,0.122165,0.180736,-0.122412,-0.0866428,-0.10508,-0.262728
-3005.45,1,0.576095,3,7,0,3013.75,5.88008,-0.0463571,0.0621722,0.399454,0.218272,-0.601856,-0.852629,-0.0871664,0.798791,-0.0603893,-0.10371,0.152511,0.22737,0.107129,-0.0295728,0.0134366,0.0867695,-0.0296069,-0.00695691,0.021281,-0.00437466,0.0246503,-0.0291017,-0.0149786,-0.0261157,0.983238,-0.267287,0.0245939,-0.0975531,0.0365191,-0.822882,-0.713621,-0.203266,0.907103,-0.55699,-0.43871,1.24095,0.985465,0.922437,-0.0388661,0.144447,0.24134,-0.109302,-0.0745333,0.00976071,-0.118148,-0.0030534,-0.238736,-0.312017,-0.344605
-3004.54,0.703749,0.576095,3,7,0,3024.59,5.87548,-0.045827,0.0259065,0.38467,0.268485,-0.600688,-0.846053,-0.0987787,0.840082,-0.0400592,-0.0774715,0.158401,0.227444,0.0783524,0.0154682,0.0323525,0.104822,-0.0329129,0.00423,0.0346197,0.0195124,0.00398653,-0.0203654,-0.00918502,-0.0056803,0.969852,-0.0946853,0.00541178,-0.038327,0.136651,-0.783319,-0.591787,-0.205157,0.927125,-0.513628,-0.175435,1.32983,1.06129,0.693927,0.0106409,0.20808,0.289319,-0.080222,0.00671665,0.107915,0.0556081,-0.0504685,-0.143412,-0.172225,-0.0749536
-3001.76,0.952444,0.576095,3,7,0,3016.11,5.87243,-0.0425294,0.064804,0.390753,0.228851,-0.627505,-0.843233,-0.0825511,0.82958,-0.0515757,-0.123242,0.157295,0.218902,0.122388,-0.0284734,0.00950944,0.0917316,-0.0202351,-0.00528968,0.0281575,0.0248948,-0.000868646,-0.0186327,0.00253883,-0.0310741,0.97535,-0.273041,0.0252677,-0.102929,0.0995235,-0.839051,-0.664039,-0.174535,0.941298,-0.521433,-0.598393,1.25211,0.907923,1.03676,-0.0323943,0.143881,0.253638,-0.0702355,-0.0464532,0.0586783,0.0582444,-0.100993,-0.165203,-0.0127534,-0.410033
-3003.45,0.548115,0.576095,3,7,0,3021.12,5.87207,-0.0467624,0.0543894,0.388053,0.245746,-0.631839,-0.844075,-0.0801765,0.846484,-0.0534414,-0.107068,0.151828,0.211095,0.127354,-0.0181117,0.00767164,0.0893486,-0.0330878,-0.00139716,0.0485888,0.0328444,-0.00940466,-0.0170345,0.00325578,-0.0256268,0.961605,-0.219079,0.0191558,-0.0811092,0.137777,-0.826739,-0.624843,-0.154798,0.954266,-0.534565,-0.464451,1.19603,0.856683,1.07825,-0.0198974,0.137185,0.245804,-0.0846833,-0.0134909,0.151814,0.107441,-0.132329,-0.145112,0.00994177,-0.338155
