lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.607436
# Diagonal elements of inverse mass matrix:
# 0.000179237, 0.000156378, 0.000147789, 0.000169937, 0.000156283, 0.000159263, 0.000130112, 0.000141109, 0.000140207, 0.00012665, 0.000135307, 0.000135952, 0.000164679, 0.000171509, 0.00015351, 0.000145916, 0.000137302, 0.000156364, 0.000161883, 0.000153005, 0.00013649, 0.000138236, 0.000201469
40.8133,0.946115,0.607436,3,7,0,-30.5876,6.73609,0.177656,-0.100905,0.0194614,-0.159313,0.863595,-0.160143,-0.174717,0.110118,-0.0196539,0.0544258,-0.107512,0.0367904,0.041188,-0.00130891,-0.0132831,0.00721256,0.0133233,0.0592178,-0.00358945,0.0256669,-0.0324777,0.59045,-0.00587001,-0.000690685,0.0339642,-0.0580206,1.19548,-0.640753,-2.06363,0.628277,-0.54883,0.704878,-0.0948859,0.126489,0.110114,0.0176639,-0.00236839,0.0648826,0.0923015,0.205768,-0.0652995,0.322133,-0.366949
40.1154,0.981076,0.607436,3,7,0,-32.7964,6.71547,0.159347,-0.110366,0.0331805,-0.143699,0.825164,-0.159721,-0.185709,0.0930307,-0.0284248,0.00352798,-0.0801755,-0.00549618,0.0653324,0.00876532,0.0226334,0.0345777,0.0288519,0.0104126,-0.013935,0.0190077,-0.0233287,0.602548,0.024234,-0.00489311,0.0986418,-0.0387356,1.11118,-0.616413,-2.43092,0.557133,-0.405845,0.106531,-0.0790012,0.0728618,0.167841,0.0451263,0.0725412,0.104825,0.0925142,-0.022049,-0.10679,0.240368,-0.263579
38.9431,0.983773,0.607436,3,7,0,-30.2928,6.73114,0.168529,-0.0896255,0.0209025,-0.156381,0.858986,-0.181153,-0.181254,0.116907,-0.0117738,0.0368674,-0.114955,0.0370407,0.0467413,0.00484138,-0.0105662,0.00159003,0.00910347,0.0652682,-0.00392472,0.0325446,-0.0244572,0.594621,-0.0508006,0.00430918,0.0337278,-0.0642602,1.20423,-0.725039,-2.06961,0.722187,-0.437426,0.535669,-0.0962154,0.133584,0.124654,0.0450191,0.0206682,0.0669264,0.100225,0.25542,-0.0408317,0.45036,-0.276329
44.2311,1,0.607436,3,7,0,-32.1602,6.72293,0.156539,-0.106928,0.0121802,-0.152167,0.847507,-0.129879,-0.173438,0.0909939,-0.0272398,0.0286565,-0.095096,0.00702457,0.0644745,0.0167945,-0.000924576,0.0203988,0.0160734,0.0390624,-0.0162835,0.0209522,-0.0446712,0.606008,0.013449,-0.00473415,0.0246083,-0.0405637,1.13525,-0.494261,-2.23165,0.511249,-0.512134,0.426177,-0.0980513,0.0964121,0.169125,0.0369714,-0.0201378,0.0389102,0.019008,0.0528287,-0.166417,0.217457,-0.504716
44.749,0.804114,0.607436,3,7,0,-32.3296,6.73004,0.178226,-0.103722,0.0427124,-0.153276,0.840931,-0.191544,-0.188269,0.114026,-0.0161549,0.0293376,-0.0903795,0.0214704,0.0446113,-0.00883614,0.00935646,0.018729,0.0274196,0.0311295,-0.00207299,0.0242442,-0.0136344,0.587353,-0.00559853,7.08994e-05,0.112331,-0.0549057,1.16876,-0.780243,-2.24966,0.711612,-0.400789,0.39082,-0.0748889,0.100628,0.115898,0.022888,0.0822139,0.116795,0.166499,0.126318,-0.0152933,0.346986,-0.154048
46.2587,0.606975,0.607436,3,7,0,-30.1848,6.71231,0.156101,-0.110988,0.0124039,-0.141215,0.855803,-0.15629,-0.178088,0.108256,-0.0279918,0.0300412,-0.0920486,0.0081824,0.0545746,0.0141369,-0.00288311,0.0335132,0.0131586,0.041061,-0.00891907,0.0312211,-0.0458146,0.602652,0.0373991,-0.00775522,0.0351684,-0.0109642,1.16291,-0.612017,-2.17917,0.617871,-0.519579,0.434557,-0.0906034,0.0858239,0.142339,0.0495112,0.00358244,0.111548,0.0337768,0.0899782,-0.118267,0.376032,-0.517635
45.3618,0.695485,0.607436,3,7,0,-30.4649,6.72852,0.161644,-0.121348,0.0327096,-0.159104,0.853239,-0.166748,-0.183585,0.0932385,-0.0148536,0.0235386,-0.0819565,0.0289935,0.0612676,0.00916985,0.00908801,0.016343,0.0381101,0.0206444,-0.018967,0.00833103,-0.0134973,0.59852,0.0345101,-0.00751305,0.0772771,-0.0468246,1.14761,-0.680766,-2.35305,0.584438,-0.355917,0.328349,-0.0782535,0.137787,0.15941,0.0365063,0.0317209,0.0509788,0.147455,0.0182727,-0.122901,0.0971527,-0.152498
44.1722,0.925162,0.607436,3,7,0,-37.0252,6.73771,0.186591,-0.111217,0.0209439,-0.144769,0.841627,-0.185436,-0.180644,0.109288,-0.0178034,0.0250672,-0.0890653,0.00469425,0.0447464,-0.00701163,-0.0134612,0.0157918,0.0196297,0.0349548,0.00570657,0.0271394,-0.032795,0.583259,0.0536077,-0.00610811,0.048545,-0.0344669,1.16231,-0.764267,-2.15286,0.700378,-0.416854,0.381754,-0.0784878,0.0673872,0.118734,0.00507916,0.00151356,0.0935703,0.118215,0.126534,-0.0148324,0.344489,-0.370533
42.1511,0.913461,0.607436,3,7,0,-34.3899,6.73416,0.176328,-0.0920167,0.0273618,-0.135492,0.85123,-0.181061,-0.171189,0.0972578,-0.0214281,0.0157959,-0.109284,0.0321437,0.0556228,0.00436567,-0.00189456,0.0147002,0.0188977,0.0325475,-0.0204477,0.0162327,-0.0485122,0.579135,-0.0130956,0.00134615,0.072458,-0.0290979,1.16915,-0.715145,-2.11622,0.631944,-0.424576,0.269871,-0.117,0.137141,0.146981,-0.0141443,-0.0487961,-0.00798255,0.00197006,6.1879e-05,-0.202787,0.133635,-0.548113
41.5678,0.886453,0.607436,3,7,0,-32.4152,6.72118,0.160958,-0.119224,0.0257783,-0.170042,0.840291,-0.14206,-0.189732,0.108141,-0.0257327,0.0437804,-0.0774164,-0.00244203,0.0455459,0.00467338,0.0110821,0.0221532,0.0222535,0.0399573,0.00329098,0.0271273,-0.00747838,0.613762,0.026156,-0.00635809,0.0600316,-0.0695092,1.14023,-0.56221,-2.36529,0.571619,-0.522003,0.553097,-0.0555692,0.0517287,0.11714,0.0796059,0.116767,0.161511,0.180739,0.195365,0.030754,0.407739,-0.0844943
37.9796,0.770516,0.607436,3,7,0,-27.7223,6.69971,0.207424,-0.109214,0.0377098,-0.164903,0.847467,-0.159315,-0.182352,0.113597,-0.0222776,0.0446715,-0.105687,-0.00162403,0.0602569,0.00159076,-0.000437537,0.00615366,0.0280524,0.0367443,-0.0109463,0.0105226,-0.00661795,0.603717,0.0394184,-0.00238536,0.0948015,-0.0876657,1.17374,-0.639578,-2.19781,0.673823,-0.535274,0.591327,-0.0913061,0.0732367,0.158519,0.0301165,0.0331772,0.0572337,0.154248,0.126943,-0.0618003,0.148846,-0.0747727
42.1935,1,0.607436,3,7,0,-29.2019,6.741,0.162145,-0.0894264,0.012198,-0.147008,0.838583,-0.151021,-0.171898,0.102016,-0.0210969,0.0397755,-0.0837411,0.03716,0.0521422,0.0120632,0.0202213,0.00556981,0.00528326,0.0411158,-0.02713,0.0126224,-0.0199821,0.587677,-0.0583921,0.00462142,0.0251099,-0.00996198,1.12775,-0.629461,-2.12495,0.591654,-0.451782,0.503427,-0.0838755,0.140702,0.135986,0.0311144,0.0356806,-0.0108423,-0.0201122,0.075787,-0.176562,0.148369,-0.225767
42.608,0.987203,0.607436,3,7,0,-32.5498,6.72371,0.180111,-0.12639,0.0347521,-0.150442,0.857781,-0.157611,-0.189043,0.101437,-0.0169582,0.0156761,-0.108063,-0.0107326,0.0593283,-0.00474012,-0.00116007,0.0265848,0.0247746,0.0255503,0.00417808,0.0298484,-0.0403349,0.608035,0.114247,-0.0141685,0.0854476,-0.0580999,1.17936,-0.588695,-2.32975,0.657063,-0.39936,0.279329,-0.0999982,0.0551623,0.155251,0.0124541,0.0276706,0.112063,0.115765,0.0683937,-0.0373496,0.368183,-0.455723
41.6879,0.85997,0.607436,3,7,0,-29.8112,6.72801,0.153088,-0.0843018,0.016728,-0.154221,0.832592,-0.163428,-0.170554,0.103805,-0.0316122,0.0413843,-0.0801361,0.0418373,0.0455921,0.0109357,0.0099458,0.0101429,0.0174118,0.0464767,-0.0226301,0.0125005,-0.0151009,0.585515,-0.105728,0.00923302,0.0426911,-0.0445055,1.12982,-0.678302,-2.13663,0.549212,-0.557142,0.523005,-0.0745779,0.141604,0.118952,0.043655,0.0367084,0.0382366,0.0682294,0.121541,-0.141442,0.158685,-0.170617
35.4851,0.839875,0.607436,3,7,0,-27.3733,6.72519,0.191621,-0.110422,0.0388718,-0.151214,0.857775,-0.140097,-0.184642,0.084648,-0.0129359,0.00919103,-0.108164,-0.00490868,0.0684515,0.00373261,-0.0052661,0.0303062,0.0350894,0.0146966,0.00452513,0.035664,-0.0471032,0.612884,0.0599205,-0.00576256,0.090608,-0.0590548,1.16302,-0.494935,-2.37553,0.557359,-0.350054,0.213658,-0.102985,0.0799239,0.179015,0.027645,0.00854652,0.113899,0.146569,0.0139807,-0.0445969,0.442652,-0.532194
34.6085,0.961467,0.607436,3,7,0,-25.8495,6.73268,0.143062,-0.104285,0.0134189,-0.156605,0.827002,-0.178181,-0.179395,0.127967,-0.0349393,0.0484751,-0.0863133,0.0255434,0.0486968,0.0111386,0.0109653,-0.00487024,0.00819194,0.0612934,-0.0281435,0.0193509,-0.0179205,0.583882,-0.0324234,-0.00134812,0.0415476,-0.0548428,1.14433,-0.768775,-2.11209,0.715616,-0.627444,0.624619,-0.0803981,0.111397,0.128598,0.0364716,0.0282211,-0.0170821,0.0275352,0.172174,-0.16964,0.259316,-0.202474
36.9046,0.982701,0.607436,3,7,0,-22.8482,6.71068,0.189162,-0.103473,0.034814,-0.15125,0.868479,-0.159075,-0.172778,0.0808193,-0.0192072,0.0103755,-0.10814,0.0117767,0.0585522,-0.00436941,0.00297836,0.0487294,0.0346644,0.020741,0.00841237,0.0290662,-0.0383318,0.610933,0.0298755,-0.00238468,0.0811179,-0.0695274,1.18408,-0.548657,-2.22676,0.46982,-0.396926,0.203065,-0.097159,0.100219,0.150849,0.0361706,0.0675498,0.207072,0.173192,0.0624405,-0.0110344,0.360905,-0.43309
38.6538,1,0.607436,3,7,0,-25.5039,6.72627,0.175562,-0.126698,0.0279872,-0.140501,0.822971,-0.157994,-0.196371,0.114747,-0.0309738,0.0254572,-0.0758025,-0.000602605,0.0650597,-0.00173774,-0.00562008,-0.0143555,0.0280754,0.0316528,0.00643837,0.0366726,-0.0233591,0.599857,0.0832128,-0.0114848,0.0811568,-0.0265869,1.13009,-0.675834,-2.46716,0.700116,-0.546112,0.407997,-0.0599317,0.0834524,0.173186,0.022212,0.0263885,0.00824985,0.185442,0.144266,0.021576,0.518008,-0.263922
36.4343,0.877582,0.607436,3,7,0,-23.2542,6.72318,0.167107,-0.0915509,0.0173725,-0.143739,0.847017,-0.161212,-0.154506,0.0908656,-0.0224526,0.0367667,-0.114313,0.011449,0.0492995,0.00390438,0.0227374,0.0603575,0.010076,0.0393674,-0.0258466,0.00312839,-0.0417701,0.594095,0.00857106,-0.00170892,0.0454534,-0.039665,1.15519,-0.573988,-1.87406,0.488052,-0.470881,0.453402,-0.121478,0.0841309,0.124872,0.0199191,0.0486012,0.152375,-0.0466601,0.0154455,-0.230716,-0.0554886,-0.471938
