lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.600951
# Diagonal elements of inverse mass matrix:
# 0.000197691, 0.00015007, 0.000137185, 0.000153861, 0.000136679, 0.000153916, 0.000165121, 0.000177654, 0.000147179, 0.000127251, 0.000142302, 0.000148027, 0.000148924, 0.000132624, 0.000144717, 0.000161654, 0.000135543, 0.000125658, 0.000130113, 0.000141092, 0.000119325, 0.000186192, 0.000715687
2474.56,0.914395,0.600951,3,7,0,-2463.07,-1.43695,0.0412435,0.0236279,0.0154088,0.0199448,-0.0970127,-0.140584,-0.19795,0.0991132,-0.0240039,0.026467,-0.0947177,0.0136749,0.0601179,0.0152784,0.00766181,0.0273842,0.0448432,0.051441,0.0104899,0.0247194,-0.00921665,15.7148,0.237709,-0.0164719,0.108894,-0.0945523,0.129864,-0.518473,-2.52776,0.511163,-0.533084,0.415565,-0.0624527,0.111892,0.167107,0.133914,0.146948,0.219985,0.320789,0.25825,0.0623628,0.365486,-0.104173
2473.41,0.754444,0.600951,3,7,0,-2462.43,-1.43125,0.0144077,0.0175789,-0.00492316,0.0506048,-0.0721017,-0.147815,-0.183888,0.113739,-0.0115186,0.0405034,-0.0734696,0.0217006,0.0520281,-0.00399428,-0.0027707,0.00528781,0.0047862,0.0422508,-0.00903374,0.0336307,-0.0254028,15.7753,0.322004,-0.0240161,0.0586197,0.0492713,0.140485,-0.666796,-2.15928,0.73764,-0.415973,0.565639,-0.0658532,0.114441,0.143784,0.00319555,0.0105305,0.038289,0.0355696,0.140384,-0.0693007,0.46494,-0.287121
2475.42,0.6799,0.600951,3,7,0,-2463.02,-1.43658,0.0280903,0.0379594,0.0143959,0.0383111,-0.103494,-0.137435,-0.207446,0.109928,-0.024232,0.0302006,-0.119184,0.00954279,0.0487045,0.00884198,0.00391266,0.0330634,0.0332578,0.0401712,0.0100905,0.0377206,-0.0179009,15.3451,0.140569,-0.0102816,0.112897,-0.073758,0.149689,-0.479912,-2.59812,0.604012,-0.571962,0.44791,-0.0899563,0.0883287,0.135847,0.101725,0.117175,0.215894,0.2431,0.203508,0.0547009,0.548078,-0.202329
2474.47,0.626107,0.600951,3,7,0,-2463.02,-1.42474,0.0204125,0.0169915,-0.00371322,0.0352434,-0.0739965,-0.162974,-0.183653,0.111266,-0.0125455,0.0317155,-0.0728567,0.0259182,0.0602096,-0.00105043,-0.00211591,0.00872185,0.0174825,0.0410455,-0.0069499,0.0252527,-0.0270221,16.0582,0.293134,-0.0221271,0.0577113,-0.000890244,0.140733,-0.724168,-2.18028,0.726524,-0.402175,0.473433,-0.0652182,0.135011,0.166329,0.0155902,0.0177588,0.0526092,0.0917385,0.128518,-0.0714161,0.329158,-0.305424
2472.77,0.740024,0.600951,3,7,0,-2463.17,-1.45465,0.0250854,0.0405634,0.0238834,0.0355069,-0.0993834,-0.128018,-0.212297,0.110464,-0.0300644,0.0372284,-0.109616,0.0100342,0.0534768,-0.0074658,-0.0102231,0.0273633,0.03717,0.0426237,0.00570467,0.0368073,-0.0225706,15.6933,0.0439742,-0.00345897,0.145479,-0.0667916,0.150959,-0.473329,-2.693,0.612134,-0.647155,0.54457,-0.0863092,0.0943852,0.148033,0.0393842,0.0597557,0.181731,0.244299,0.191363,0.0194291,0.521994,-0.255109
2466.12,0.708767,0.600951,3,7,0,-2455.97,-1.41287,0.0102615,0.00914902,-0.0105374,0.0323933,-0.0760412,-0.15113,-0.17252,0.108529,-0.00741772,0.0172584,-0.072881,0.0275898,0.0589788,0.023471,0.0155878,-0.00240212,0.0219849,0.0274092,0.0017428,0.0097838,-0.0239355,15.6448,0.418748,-0.0319867,0.0261994,-0.0150869,0.115395,-0.647737,-2.03819,0.732569,-0.285278,0.273907,-0.0633963,0.138417,0.163121,0.0848575,0.0623314,0.00944177,0.111172,0.0831419,-0.0353595,0.093713,-0.270536
2470.29,1,0.600951,3,7,0,-2458.77,-1.44529,0.0317988,0.0428552,0.00972536,0.0306035,-0.104831,-0.135592,-0.212874,0.10891,-0.017341,0.0382393,-0.105456,0.0263923,0.0564864,-0.0207342,-0.0152505,0.0367645,0.0244281,0.04248,0.00169699,0.0486616,-0.0169376,15.1414,-0.00415939,0.000426346,0.0941831,-0.0630863,0.150759,-0.530157,-2.64007,0.648589,-0.53744,0.57446,-0.0821111,0.131491,0.155664,0.0059625,0.0518843,0.218938,0.19226,0.204358,0.0245522,0.722508,-0.19144
2466.64,0.842052,0.600951,3,7,0,-2455.39,-1.41822,0.0193617,0.00811708,0.00420182,0.0336123,-0.0717139,-0.155974,-0.180462,0.0917524,-0.0222201,0.0122187,-0.0992095,0.0123533,0.0531748,0.0240826,0.0266347,-0.0055769,0.0247302,0.0178966,0.0139061,0.027717,-0.0188712,15.7388,0.46199,-0.0339742,0.0738622,-0.0616863,0.145899,-0.59086,-2.3425,0.53442,-0.441024,0.207994,-0.0774932,0.100366,0.146771,0.114565,0.128192,0.0387669,0.171239,0.104548,0.0614911,0.388368,-0.213296
2462.3,0.894015,0.600951,3,7,0,-2450.12,-1.4255,0.0284904,0.0250846,0.0011622,0.0230249,-0.0960344,-0.13748,-0.191294,0.132561,-0.00721761,0.052318,-0.0859308,0.0309237,0.0411045,-0.00880919,-0.0154045,0.0360379,0.0292945,0.0707152,-0.0232702,0.0286737,-0.0293135,14.329,0.250945,-0.017858,0.0673605,-0.0330567,0.131844,-0.599564,-2.08011,0.845515,-0.443472,0.705657,-0.0769368,0.118637,0.116943,0.00696794,0.00285991,0.159635,0.144161,0.21177,-0.159873,0.377189,-0.331322
2471.76,0.897741,0.600951,3,7,0,-2450.13,-1.43064,0.0241362,0.0303998,0.0182779,0.0228346,-0.067802,-0.139414,-0.177563,0.0934394,-0.0234434,0.0203283,-0.0922973,0.0120526,0.0694549,0.0118994,0.00147134,0.0268177,0.022322,0.0271449,0.0178425,0.0394257,-0.0293859,16.2862,0.0530913,-0.005159,0.118884,-0.0715265,0.152366,-0.529733,-2.26076,0.523081,-0.507026,0.360502,-0.0711909,0.122139,0.191228,0.0905844,0.0851859,0.169664,0.171652,0.145377,0.0712213,0.546045,-0.332141
