lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta.28,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25,beta.26,beta.27,beta.28
# Adaptation terminated
# Step size = 0.632323
# Diagonal elements of inverse mass matrix:
# 0.000126952, 0.000103907, 0.00011741, 9.29484e-05, 9.73417e-05, 0.000109878, 0.000101738, 0.000117562, 0.000121189, 0.000135935, 0.000105507, 0.000101946, 0.000106674, 0.000119808, 0.000120781, 9.95418e-05, 8.77515e-05, 9.33335e-05, 0.000100194, 0.000113176, 0.000117185, 0.000118417, 0.000122275, 0.000109287, 0.000118323, 0.000126371, 0.000106681, 0.000101253, 0.000120696, 0.000347078
5430.96,0.998872,0.632323,3,7,0,-5415.24,-1.54485,0.00384834,-0.0128686,-0.106262,0.0528169,0.0364028,0.00436625,0.113984,-0.115317,-0.158557,-0.0412563,0.0229671,-0.0870431,-0.0491754,-0.0897799,0.129608,0.165599,0.0758669,-0.0221755,0.00736022,0.065772,-0.0195202,-0.000655006,0.0244883,0.0249606,0.014015,-0.00749779,0.014858,-0.0233146,7.67432,0.578904,-0.037493,-0.345673,0.02705,0.032142,-0.000368675,-0.0872766,0.0623577,-0.512514,-0.371849,-0.167369,-0.0121786,-0.470543,-0.39695,1.04485,0.727263,0.649146,-0.0161301,0.106708,0.182818,-0.0307475,0.0210702,0.106976,0.12966,0.0313257,-0.0709372,0.218398,-0.307932
5427.33,0.887815,0.632323,3,7,0,-5416.58,-1.5363,0.0203756,-0.0211729,-0.0748956,0.0509362,0.00977399,-0.00554401,0.140431,-0.116473,-0.16673,-0.035405,0.00331729,-0.133916,-0.0472298,-0.0720045,0.0985406,0.152275,0.0466153,-0.00845929,0.0226759,0.0808748,-0.0418807,0.010001,0.0395611,0.00982245,0.0139799,-0.0266747,-0.00602744,-0.0191923,7.76318,0.680145,-0.0458066,-0.344282,0.032141,0.049814,-0.00486243,-0.0144998,0.0251438,-0.643951,-0.420001,-0.217718,-0.0803068,-0.427623,-0.325153,0.846463,0.719426,0.420595,-0.0157598,0.15891,0.225401,-0.10661,0.0133346,0.107269,-0.0234776,-0.0339797,-0.203359,-0.141755,-0.253485
5429.72,1,0.632323,3,7,0,-5418.18,-1.55887,-0.00494505,-0.000358632,-0.0888041,0.0478677,0.0365282,0.0216864,0.123584,-0.125303,-0.15447,-0.053011,0.0281937,-0.0886272,-0.0294533,-0.0885078,0.130376,0.165848,0.0914816,-0.0227827,0.00369169,0.0698379,-0.0180655,-0.00431906,0.0207937,0.0156695,0.0094597,0.00611832,0.00793587,-0.021921,7.86804,0.288619,-0.0190743,-0.252286,0.0198567,-0.0305548,0.00673068,-0.0888342,0.0436231,-0.516728,-0.457847,-0.164006,-0.0130943,-0.390253,-0.380927,1.03382,0.690767,0.780925,-0.0139808,0.105074,0.193495,-0.024691,0.0171721,0.104654,0.0977124,0.038789,0.00715406,0.0990826,-0.289525
5432.43,0.955013,0.632323,3,7,0,-5417.85,-1.54467,0.00715141,-0.0114118,-0.0900386,0.0468329,0.0151465,-0.00985096,0.139194,-0.114975,-0.162385,-0.0337083,-0.00310597,-0.139467,-0.0512847,-0.0767275,0.102346,0.157771,0.0566158,-0.0199604,0.0210224,0.0768412,-0.0390605,0.0119527,0.0343255,0.00805713,0.0162025,-0.0227125,-0.00524924,-0.0174287,7.83685,0.480586,-0.0322851,-0.30407,0.0263768,0.0740164,-0.00698345,-0.00105231,0.028439,-0.630024,-0.422386,-0.25288,-0.0781071,-0.437802,-0.357041,0.859872,0.72611,0.498094,-0.0228797,0.149824,0.214084,-0.0942892,0.0262779,0.0977185,-0.0176391,-0.00807957,-0.175204,-0.124779,-0.230192
5432.85,0.5832,0.632323,3,7,0,-5410.5,-1.555,0.000357741,-0.00668125,-0.0760108,0.0427531,0.022423,0.0143274,0.131126,-0.124737,-0.157463,-0.0434767,0.0382575,-0.0880589,-0.0306121,-0.0847686,0.126206,0.148211,0.0805998,-0.00764986,0.00579888,0.0668187,-0.0296761,-0.00709392,0.0103479,0.0142005,0.0100028,-0.00558845,-0.00225065,-0.0259381,7.81316,0.360377,-0.0239475,-0.253193,0.0214616,-0.0246675,0.00451631,-0.0773696,0.051868,-0.535115,-0.456053,-0.106173,-0.0210196,-0.420477,-0.372568,1.03084,0.612906,0.695998,-0.0117474,0.104385,0.185271,-0.0839886,-0.0334519,0.0205353,0.0445194,-0.00608524,-0.082471,-0.0877602,-0.342582
5426.79,0.44661,0.632323,3,7,0,-5409.01,-1.55292,0.0163196,-0.00728173,-0.109829,0.0434919,0.0227213,-0.00867893,0.13211,-0.116839,-0.160742,-0.0423591,-0.00151086,-0.138577,-0.0575237,-0.0804826,0.0912182,0.1747,0.0659941,-0.0182322,0.0289877,0.083738,-0.0270562,0.0103709,0.0410847,0.00746797,0.0156283,-0.0189381,-0.00437906,-0.0115593,7.73391,0.366536,-0.0224705,-0.302447,0.0230567,0.0752781,-0.00655006,-0.0306392,0.0421649,-0.635398,-0.431195,-0.260917,-0.0787281,-0.451162,-0.397104,0.757847,0.802407,0.578183,-0.0167949,0.176409,0.233744,-0.0528558,0.039299,0.14203,-0.00279907,0.00925676,-0.140828,-0.0985643,-0.152671
5425.41,0.812591,0.632323,3,7,0,-5406.94,-1.56898,-0.00232991,-0.00252979,-0.0831345,0.0625117,0.0224284,0.0234221,0.140998,-0.131025,-0.165607,-0.0470003,0.0323644,-0.0921503,-0.0221089,-0.0952978,0.136194,0.146484,0.0782751,-0.0168903,0.00199438,0.0708353,-0.0286991,-0.0034004,0.0135057,0.0172971,0.00876753,-0.0060276,0.00513067,-0.0374366,8.13844,0.511223,-0.0348736,-0.39012,0.0352147,-0.0536638,0.00800958,-0.0675606,0.0278618,-0.559693,-0.486141,-0.129259,-0.0206751,-0.381503,-0.449071,1.11091,0.608297,0.671638,-0.021418,0.102444,0.196735,-0.0817712,-0.0258863,0.0251911,0.0498743,-0.0249867,-0.0975036,0.0208943,-0.49445
5432.74,0.916901,0.632323,3,7,0,-5411.64,-1.56325,0.0023466,0.000626494,-0.0979086,0.0346215,0.0176086,0.00451992,0.126831,-0.132162,-0.164188,-0.0335843,0.00653281,-0.119496,-0.0425393,-0.0731357,0.0871418,0.170461,0.0695298,-0.0203811,0.0161624,0.083719,-0.0291414,0.0158542,0.0176144,0.0155377,0.0323527,-0.0159491,0.00351295,-0.0234255,7.82492,0.177948,-0.0107536,-0.220292,0.0155848,0.0207951,-0.000966108,-0.0587013,0.0179736,-0.599095,-0.372825,-0.227574,-0.0620964,-0.372853,-0.33262,0.727425,0.762484,0.608848,-0.016603,0.149063,0.233569,-0.0541709,0.0594047,0.0655259,0.0660614,0.0943129,-0.135029,0.0184015,-0.309396
5435.68,0.969903,0.632323,3,7,0,-5423.33,-1.53985,0.00688856,-0.0103323,-0.0863499,0.0631425,0.0235722,-0.00456227,0.137876,-0.113237,-0.156018,-0.0531534,0.0194266,-0.102015,-0.0431069,-0.0926254,0.13101,0.149549,0.07056,-0.00180627,0.0100469,0.0676365,-0.0232784,-0.00956154,0.0352864,0.00782252,-0.00625256,-0.00690469,-0.00103771,-0.0227779,7.80555,0.603229,-0.0402435,-0.458344,0.0413475,0.0429998,-0.00289123,-0.0372124,0.0511568,-0.574154,-0.499123,-0.163437,-0.0361881,-0.485838,-0.436326,1.0733,0.65436,0.611117,-0.00863847,0.115419,0.187856,-0.0677956,-0.040811,0.105023,-0.0140001,-0.0891975,-0.0835981,-0.0605366,-0.300844
5436.16,0.870389,0.632323,3,7,0,-5425.03,-1.53549,0.00409172,-0.0185892,-0.0914307,0.0526026,0.0150327,-0.00482749,0.133984,-0.105447,-0.15346,-0.0582683,0.022071,-0.112148,-0.037167,-0.0843253,0.134724,0.153064,0.0662199,-0.00497389,0.00541258,0.066178,-0.0231455,0.00424021,0.0284016,0.00881824,0.00536399,-0.00286629,-0.00049249,-0.0299883,7.80031,0.656689,-0.0444912,-0.331331,0.0292365,0.0424831,-0.00354409,-0.046346,0.0605337,-0.576479,-0.529292,-0.164552,-0.0478068,-0.445407,-0.346758,1.10481,0.684997,0.572047,-0.00847581,0.103889,0.184224,-0.053183,0.0120785,0.0906707,0.00804166,-0.0281558,-0.071115,-0.0643128,-0.396075
