lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,sigma,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21
# Adaptation terminated
# Step size = 0.562885
# Diagonal elements of inverse mass matrix:
# 0.000147605, 0.000130527, 0.000148545, 0.000154314, 0.000151027, 0.000139874, 0.000153675, 0.000148763, 0.000124332, 0.000121542, 0.000152069, 0.000142715, 0.000151744, 0.000174216, 0.000173433, 0.000160349, 0.000158788, 0.000125449, 0.000152043, 0.000168231, 0.000136373, 0.000161447, 0.000192753
51.0625,0.872804,0.562885,3,7,0,-41.3216,6.72674,0.1529,-0.132329,0.0223642,-0.143139,0.855297,-0.172108,-0.180995,0.0909606,-0.0270659,0.0232993,-0.0949847,0.021892,0.0411136,0.018018,-0.0115177,0.0242681,0.0166896,0.0222035,-0.0127831,0.0195988,-0.0331078,0.603592,-0.0674389,0.00266846,0.0550466,-0.0713212,1.16535,-0.698674,-2.39861,0.526273,-0.504926,0.342923,-0.0944814,0.0991548,0.111386,0.0374671,-0.0440579,0.0586398,0.0315138,0.0124801,-0.122056,0.226085,-0.373972
50.8001,0.849128,0.562885,3,7,0,-41.3214,6.72137,0.14383,-0.133436,0.0270198,-0.135649,0.846261,-0.142508,-0.167115,0.097969,-0.0177466,0.0305276,-0.0893937,0.0056462,0.0790753,-0.00902737,0.0263132,0.0184594,0.0299667,0.0488736,-0.011682,0.0270229,-0.0183718,0.584472,-0.0651071,0.00016926,0.0674581,-0.0583625,1.14868,-0.561162,-2.03988,0.559944,-0.478833,0.466531,-0.0725473,0.115297,0.213177,0.0297289,0.126911,0.109897,0.169854,0.170297,-0.073906,0.37936,-0.20752
49.686,0.946153,0.562885,3,7,0,-43.8829,6.72306,0.165918,-0.128576,0.0363712,-0.145205,0.855679,-0.175048,-0.17587,0.0954646,-0.0294946,0.0297962,-0.0904519,0.0166298,0.0456721,-0.000173111,-0.00612751,0.0335332,0.0242013,0.0362317,0.013643,0.0170366,-0.0333863,0.602558,-0.0858629,0.0059333,0.0970139,-0.0856563,1.17491,-0.687746,-2.27111,0.509649,-0.558029,0.424836,-0.0750444,0.0938086,0.121341,0.0445592,0.0462297,0.170473,0.153411,0.142809,0.0160477,0.185106,-0.377117
52.6482,0.901655,0.562885,3,7,0,-42.3604,6.72501,0.140929,-0.132828,0.0190165,-0.133942,0.84285,-0.139729,-0.170209,0.0996569,-0.015918,0.0253716,-0.0930381,0.0165214,0.061438,0.0106023,0.0141908,0.00810226,0.0209214,0.0300116,-0.0307582,0.0231664,-0.0239608,0.585078,-0.0615099,0.000154521,0.0423788,-0.0443336,1.1346,-0.577248,-2.10799,0.631796,-0.419151,0.376826,-0.0931383,0.114861,0.167501,0.0189688,0.0117537,-0.0113701,0.0361311,0.0199913,-0.193381,0.304863,-0.270651
47.8277,0.79001,0.562885,3,7,0,-41.6021,6.72955,0.145284,-0.138787,0.00957388,-0.134203,0.83761,-0.148594,-0.178195,0.112089,-0.040081,0.0289031,-0.0981085,0.00167844,0.0451316,-0.00379983,-0.0155633,0.00947169,0.00903527,0.0400634,-0.0135025,0.016386,-0.0174353,0.587669,0.0365254,-0.00828489,0.0257459,-0.0719068,1.15751,-0.618782,-2.23116,0.643395,-0.663148,0.443113,-0.0901736,0.0617283,0.123461,-0.00855139,-0.0345039,0.0418772,0.0413906,0.117632,-0.0936547,0.214426,-0.196942
45.628,0.820118,0.562885,3,7,0,-35.229,6.73208,0.145845,-0.100392,0.0334534,-0.142996,0.8661,-0.169047,-0.17897,0.0869077,-0.00812703,0.0291504,-0.0983748,0.0243535,0.0772168,0.0248963,0.0199416,0.0357246,0.0285718,0.0378697,-0.0207146,0.0240979,-0.0399437,0.594898,-0.346357,0.0289871,0.0851125,-0.053434,1.17141,-0.658943,-2.29968,0.504912,-0.380243,0.431828,-0.0951844,0.151873,0.207731,0.0823446,0.0576843,0.101255,0.0804432,0.0491041,-0.175112,0.27988,-0.451186
44.546,0.982453,0.562885,3,7,0,-38.1288,6.72045,0.158578,-0.164891,0.0198614,-0.134509,0.835126,-0.141457,-0.173635,0.108454,-0.0377228,0.0291524,-0.0825179,0.0040358,0.0391704,-0.0104524,0.00163905,0.00315014,0.0168096,0.0300378,-0.00186666,0.0179369,-0.0119803,0.592411,0.219427,-0.0256965,0.0521364,-0.0635882,1.13776,-0.588894,-2.18936,0.616678,-0.610047,0.404043,-0.0691038,0.0592717,0.106059,-0.00152142,0.0386219,0.0481201,0.110337,0.119256,-0.0170033,0.252339,-0.135324
44.1267,0.973962,0.562885,3,7,0,-31.97,6.69114,0.149574,-0.118102,0.0350525,-0.133607,0.860344,-0.146235,-0.195213,0.0971054,-0.0116299,0.0152583,-0.0834348,0.0110115,0.0750674,0.0142566,-0.00435644,0.00904847,0.0246296,0.0433229,-0.00411124,0.0060024,-0.0173481,0.607289,-0.204076,0.0155438,0.0853182,-0.0256966,1.15783,-0.604928,-2.49283,0.620232,-0.360835,0.317208,-0.0701333,0.12059,0.202571,0.0622462,0.0223909,0.0660978,0.138293,0.146725,-0.0549563,0.0513689,-0.195957
43.7322,0.91847,0.562885,3,7,0,-30.368,6.71132,0.150589,-0.125405,0.0369324,-0.125051,0.867909,-0.138986,-0.190006,0.103431,-0.0202148,0.0198012,-0.0800264,0.00615122,0.0772141,0.0102086,-0.00307128,0.0146361,0.0361081,0.0449998,0.00994352,-0.00237824,-0.0251416,0.609217,-0.135697,0.00852638,0.0996056,-0.0121301,1.16479,-0.55777,-2.40834,0.621261,-0.452166,0.359502,-0.0634945,0.11366,0.207049,0.0689882,0.049206,0.107135,0.211584,0.167326,-0.00703651,-0.0997332,-0.283988
41.3569,0.910145,0.562885,3,7,0,-28.5878,6.72755,0.156806,-0.110329,0.0562046,-0.140741,0.847595,-0.180615,-0.168006,0.100365,-0.013694,0.0204505,-0.0844626,-0.011278,0.0442875,-0.00542963,-0.00917168,0.0240815,0.00381846,0.0176919,-0.00410561,0.0381994,-0.0145613,0.596502,-0.259675,0.0229407,0.15207,-0.0577022,1.15967,-0.768396,-2.03285,0.65865,-0.377262,0.338022,-0.0734608,0.0357405,0.119717,0.00557942,0.00687591,0.11103,0.0384026,0.075688,-0.0118046,0.564549,-0.164478
