lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24,beta.25
# Adaptation terminated
# Step size = 0.480616
# Diagonal elements of inverse mass matrix:
# 0.000169256, 0.000148194, 0.000147978, 0.000128135, 0.0001287, 0.000160824, 0.000157182, 0.000162567, 0.000137393, 0.000165918, 0.000143497, 0.000191649, 0.000166041, 0.000149323, 0.000126024, 0.000170283, 0.000143434, 0.000132372, 0.000138746, 0.000150633, 0.000123142, 0.000149043, 0.000113427, 0.00016207, 0.000134284, 0.000166521, 0.000886126
2478.45,1,0.480616,3,7,0,-2452.94,-1.45905,0.0457752,0.0415428,-0.146058,0.0240559,0.0551529,-0.0151787,0.0164193,-0.0252826,-0.0477063,-0.127419,-0.196633,0.0926144,-0.00798173,0.0295572,-0.0823238,0.0165282,0.0476162,-0.00996569,0.0192878,0.00794306,0.0270327,0.0405454,-0.0107213,0.0336591,-0.0220526,15.7351,-0.119579,0.0140264,-0.120581,0.00315248,0.0414756,-0.00281187,0.088863,-0.0867822,0.14246,-0.598812,-2.52522,0.62562,-0.342645,0.406772,-0.0722132,0.0996878,0.132479,0.0152602,0.0944122,0.0636682,0.147619,0.136465,-0.0697812,0.473921,-0.25023
2479.27,0.999424,0.480616,3,7,0,-2470.37,-1.41653,0.0118423,0.00719837,-0.149879,0.0472159,0.0423859,-0.0175441,-0.00129968,0.0161153,-0.0613526,-0.0988643,-0.176164,0.10588,-0.0374826,0.0321479,-0.0917018,0.0146503,0.0690332,0.00493853,-0.0169651,0.0294364,0.0248656,0.0288498,0.00379461,0.0346942,-0.00352138,15.8767,0.636393,-0.0419709,-0.243608,0.0165301,0.0728736,-0.00798048,0.0619189,-0.0338785,0.143945,-0.449423,-2.26959,0.589419,-0.670898,0.50337,-0.070189,0.125383,0.189398,0.0697887,0.0438232,0.193138,0.197548,0.166046,0.0521514,0.536932,-0.0399571
2480.25,0.897792,0.480616,3,7,0,-2466.77,-1.42689,0.0180113,0.0386183,-0.143002,0.0283162,0.0499779,-0.0175457,0.00698674,-0.0164607,-0.0492761,-0.112175,-0.200062,0.111703,-0.0278157,0.0269428,-0.0831971,0.0213479,0.0761203,-0.01257,0.00143419,0.0191691,0.00463938,0.0305396,-0.0135276,0.0468487,-0.00522811,16.4214,-0.0351747,0.00503211,-0.155396,0.00723545,0.0388038,-0.0037825,0.0801469,-0.079801,0.161496,-0.56267,-2.5535,0.705494,-0.554074,0.456066,-0.0699631,0.148404,0.209686,0.0026821,0.0519808,0.112063,0.0610702,0.134873,-0.0309358,0.723844,-0.0593232
2474.49,0.779238,0.480616,3,7,0,-2463.49,-1.44456,0.024347,0.0337925,-0.161373,0.0370627,0.0537252,0.00528912,0.00384385,-0.0170894,-0.0845841,-0.110692,-0.166639,0.082262,-0.0155929,0.0492805,-0.0788026,0.0178514,0.0617681,-0.00397412,-0.00434268,0.00869498,0.0451224,0.0287448,0.0113647,0.0388056,-0.0424473,15.9624,0.131902,-0.004863,-0.146123,0.00451599,-0.0340826,0.00645351,0.0536921,-0.0907704,0.0908525,-0.512765,-2.19149,0.498859,-0.502666,0.644847,-0.0681292,0.123184,0.170107,0.028636,0.0421938,0.0847656,0.246598,0.108777,0.00785973,0.503459,-0.481648
2481.89,0.932458,0.480616,3,7,0,-2461.81,-1.4266,0.0344821,0.0246951,-0.155476,0.0324873,0.0354073,0.00362677,0.00298812,-0.0112096,-0.0506767,-0.131481,-0.183597,0.102264,-0.0149675,0.0563414,-0.0738779,0.0190397,0.0624485,-0.00414168,6.88363e-05,0.00544458,0.0261309,0.0352153,0.00492435,0.0252871,-0.0153119,14.9834,0.28669,-0.0163076,-0.119129,0.00434295,-0.0734644,0.0074485,0.0601556,-0.0438632,0.145163,-0.653001,-2.32984,0.629787,-0.503624,0.727796,-0.057735,0.124878,0.171653,0.0349757,0.0632418,0.0868592,0.182973,0.161851,0.0202415,0.359209,-0.173744
2487.31,0.871769,0.480616,3,7,0,-2471.89,-1.43113,0.024533,0.028819,-0.139454,0.0417788,0.0487258,-0.0343262,0.00984525,-0.0110264,-0.0409594,-0.110014,-0.179276,0.083852,-0.0289834,0.0276401,-0.0916101,0.0174384,0.0605644,0.00829784,-0.00188834,0.0197096,0.023778,0.0369006,-0.00623283,0.0415465,-0.0242179,15.868,0.199104,-0.00993824,-0.301572,0.0214904,0.140295,-0.0152454,0.0819422,-0.082511,0.152904,-0.486272,-2.41457,0.467193,-0.563474,0.430119,-0.0799006,0.119666,0.167546,0.0597584,0.0453149,0.114625,0.141968,0.136962,-0.0415789,0.592545,-0.2748
2477.42,0.646253,0.480616,3,7,0,-2472.78,-1.44031,0.0162648,0.0241082,-0.140973,0.0290214,0.0418762,-0.0215633,0.0177594,-0.0234888,-0.0426562,-0.119665,-0.189192,0.117956,-0.0188487,0.0257992,-0.0738757,0.032657,0.0402048,0.00860705,-0.0101191,0.0163082,0.0414123,0.0409815,0.000475218,0.019283,0.0205288,15.5483,0.119677,-0.00584603,-0.153234,0.00785354,0.0352221,-0.00413408,0.0937737,-0.095835,0.154221,-0.575178,-2.31547,0.73477,-0.430424,0.378617,-0.0433597,0.121202,0.110918,0.102904,0.0934463,0.18809,0.31902,0.24386,0.0720256,0.355126,0.23294
2476.76,0.831444,0.480616,3,7,0,-2456.26,-1.43194,0.0415919,0.0396023,-0.160381,0.0407874,0.0550416,-0.0139903,0.0106278,0.0103142,-0.0532256,-0.109336,-0.162595,0.100635,-0.0306342,0.0364782,-0.0908538,0.00122394,0.0801487,-0.00584885,0.0144604,0.0126989,0.024705,0.0307818,-0.0133353,0.0408298,-0.0534939,15.4646,0.153549,-0.00494813,-0.228701,0.0122751,0.0619287,-0.00516686,0.102893,-0.0342496,0.135518,-0.515109,-2.04802,0.630827,-0.611586,0.529542,-0.0953434,0.114683,0.222007,-0.0110576,0.0279627,0.0165615,0.0620644,0.0280243,-0.148056,0.507449,-0.606994
2474.16,0.867876,0.480616,3,7,0,-2459.32,-1.4089,0.0193839,0.0401947,-0.152453,0.0569644,0.0695748,-0.0115725,0.00463716,-3.35479e-05,-0.0493201,-0.10687,-0.196967,0.0849855,-0.0461904,0.0255253,-0.0959033,0.0446162,0.0515495,-0.0126161,-0.00450784,0.0110526,0.0287468,0.0237791,-0.00748649,0.0323853,-0.00345081,15.7301,0.158671,-0.00598076,-0.379066,0.0271849,0.0596778,-0.00278591,0.0743364,-0.0832183,0.162937,-0.472287,-2.78169,0.437129,-0.709658,0.385567,-0.0805034,0.162627,0.142372,0.00259736,0.0404876,0.0932243,0.178391,0.110363,-0.0109842,0.500787,-0.0391563
2475.98,0.990583,0.480616,3,7,0,-2459.86,-1.44148,0.0194371,0.00827434,-0.143594,0.0259789,0.0196085,-0.027341,0.00407244,0.000475656,-0.047497,-0.106534,-0.180362,0.0913296,-0.0140527,0.0162993,-0.081409,-0.000781907,0.0602328,0.0318762,-0.0193755,-0.000576002,0.025239,0.0228066,-0.0096039,0.0166578,-0.0155218,15.4752,0.457666,-0.0289719,-0.1399,0.00688861,0.0805308,-0.0118328,0.0570595,-0.0316594,0.121358,-0.516475,-2.35244,0.629668,-0.366719,0.306495,-0.075972,0.0810371,0.166663,0.0801533,-0.0484867,0.00811944,0.11536,0.0578203,-0.0682596,0.222922,-0.176125
