lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,phi,beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7,beta.8,beta.9,beta.10,beta.11,beta.12,beta.13,beta.14,beta.15,beta.16,beta.17,beta.18,beta.19,beta.20,beta.21,beta.22,beta.23,beta.24
# Adaptation terminated
# Step size = 0.55095
# Diagonal elements of inverse mass matrix:
# 0.000118765, 0.000107927, 0.000109217, 0.000101531, 0.000111404, 0.000104733, 9.33346e-05, 0.000115201, 9.40709e-05, 0.000106618, 0.000133807, 0.000128558, 0.000105214, 0.000113887, 9.92029e-05, 0.000107056, 0.000129219, 0.000105502, 0.00011228, 8.86253e-05, 0.000103656, 0.000100303, 0.000114427, 9.44202e-05, 0.000109594, 0.000268339
5429.67,0.946003,0.55095,3,7,0,-5414.48,-1.56008,-0.0432627,0.0311416,0.131061,-0.10961,-0.171596,-0.0514554,0.02308,-0.136813,-0.0517667,-0.0808592,0.119407,0.15817,0.0777395,-0.0111195,0.030344,0.0817134,-0.0301932,0.0156492,0.0366906,0.0146139,0.0178041,0.00652829,-0.0015444,-0.0213527,7.8151,-0.0304952,0.00242665,-0.0592457,0.0477886,-0.627134,-0.495395,-0.192656,-0.060824,-0.418278,-0.331198,0.927471,0.685844,0.678835,-7.4041e-05,0.168724,0.218169,-0.0329298,0.0937897,0.173918,0.0950606,0.0748588,4.31939e-05,-0.0665983,-0.281769
5429.03,0.924518,0.55095,3,7,0,-5421.25,-1.54777,-0.0127452,0.0225657,0.136518,-0.10198,-0.167916,-0.0520496,0.0151549,-0.109495,-0.0653109,-0.0842061,0.129095,0.169911,0.0716314,-0.0210415,-0.00440187,0.0695889,-0.0252698,-0.000886324,0.0226477,0.025888,0.0183193,-0.0159322,0.00261285,-0.0127329,7.89891,0.0219426,-0.000342952,-0.0323427,0.0525142,-0.551136,-0.39755,-0.211055,-0.0273628,-0.497448,-0.33811,1.04111,0.761085,0.623155,-0.0168356,0.0821776,0.187641,-0.0522612,0.00929409,0.0897039,0.124818,0.0375079,-0.115859,0.0223911,-0.168023
5429.17,1,0.55095,3,7,0,-5423.15,-1.56228,-0.0395439,0.0379978,0.135534,-0.107488,-0.167313,-0.058203,0.0259105,-0.142533,-0.0458897,-0.084032,0.116063,0.154799,0.073907,-0.0176699,0.0330295,0.0752223,-0.0333591,0.00436194,0.0285865,-0.000878524,0.00640704,0.00207377,0.00147567,-0.0277072,7.87773,-0.0481603,0.00500409,-0.0638919,0.0384791,-0.631613,-0.541376,-0.181708,-0.0659883,-0.397874,-0.383651,0.922731,0.670363,0.642857,-0.0163621,0.166739,0.202386,-0.0752862,0.0169643,0.0991244,-0.031646,-0.00410178,-0.0349254,-0.0252642,-0.365623
5423.05,0.785629,0.55095,3,7,0,-5415.69,-1.55924,-0.0144476,0.0208445,0.131582,-0.123482,-0.152407,-0.0624173,0.00726791,-0.136888,-0.0499995,-0.101836,0.119203,0.17418,0.0751476,-0.0438015,0.024442,0.0844681,-0.0352334,0.00610681,0.0383081,0.0222445,0.0263261,-0.000604391,0.00381794,-0.0221276,7.87281,0.0404029,-0.00237243,-0.0719414,-0.0347959,-0.552042,-0.474869,-0.263089,-0.0468601,-0.359218,-0.525753,0.921419,0.774501,0.65313,-0.0262181,0.160147,0.226062,-0.0474378,0.0676952,0.184786,0.138534,0.105306,-0.0387992,0.0262104,-0.291994
5421.32,0.891697,0.55095,3,7,0,-5408.11,-1.54485,-0.0317494,0.0364735,0.136452,-0.0879429,-0.174979,-0.0400542,0.0319941,-0.118666,-0.0670584,-0.064685,0.121995,0.147429,0.0673819,0.0049437,0.00295656,0.060594,-0.0204358,-0.0011141,0.0143829,-0.000425664,0.00226,-0.0121707,-0.00679015,-0.0149099,7.71385,-0.0530788,0.00594393,-0.0196784,0.117483,-0.610493,-0.433803,-0.131267,-0.0514107,-0.54935,-0.192193,1.00718,0.649097,0.588907,-0.00582114,0.0863686,0.164485,-0.0690616,-0.0324626,0.0138638,-0.0577835,-0.0500334,-0.106724,-0.146885,-0.19675
5424.89,0.991361,0.55095,3,7,0,-5413.21,-1.5599,-0.0142957,0.0235179,0.129513,-0.114362,-0.156231,-0.0630145,0.012739,-0.132486,-0.043398,-0.0996184,0.115097,0.166024,0.0747585,-0.0453478,0.0264804,0.0808016,-0.0375773,0.00174865,0.0433134,0.0235374,0.0229637,-0.00718356,0.00584735,-0.0296525,7.82933,0.0367651,-0.00179613,-0.0741893,-0.0135966,-0.559087,-0.482015,-0.237655,-0.0451933,-0.326955,-0.523977,0.889255,0.729443,0.645925,-0.0334663,0.159681,0.216566,-0.0670162,0.0363958,0.181053,0.116057,0.0604094,-0.0896672,0.0479715,-0.391293
5428.64,0.932777,0.55095,3,7,0,-5415.98,-1.55211,-0.0255389,0.0255817,0.129227,-0.0933788,-0.171546,-0.0632849,0.00388263,-0.13004,-0.0462788,-0.0874863,0.13,0.162475,0.0779292,-0.0272873,0.00616715,0.0862531,-0.0260375,0.00372831,0.0244477,0.0288814,0.0217818,-0.00722578,-0.00917561,-0.0199154,7.82132,0.0167228,-0.000729555,-0.0320221,0.0459543,-0.611735,-0.511254,-0.261956,-0.0471822,-0.397802,-0.371121,1.02788,0.703174,0.677433,-0.019962,0.125772,0.232217,-0.0463268,0.0314581,0.103837,0.147999,0.0553474,-0.088214,-0.198057,-0.262803
5429.91,0.887756,0.55095,3,7,0,-5419.42,-1.55309,-0.0275316,0.0363292,0.125453,-0.100681,-0.170888,-0.0613135,0.00870588,-0.130333,-0.0460353,-0.0865472,0.128575,0.159868,0.086092,-0.0289,0.0104194,0.0902886,-0.033669,0.010863,0.0276358,0.0157999,0.024964,-0.00952271,-0.00128764,-0.0221245,7.8711,-0.0221171,0.00333739,-0.0449692,0.042256,-0.607596,-0.513647,-0.249604,-0.0449431,-0.400613,-0.362362,1.00114,0.666932,0.750372,-0.0217182,0.139333,0.242818,-0.0633734,0.0503292,0.110261,0.0713577,0.0702147,-0.0978296,-0.0635119,-0.291953
5427.58,0.644751,0.55095,3,7,0,-5415.8,-1.55273,-0.0281756,0.0347533,0.133801,-0.103473,-0.163154,-0.0605491,0.0167877,-0.120478,-0.0467557,-0.0902642,0.136151,0.156215,0.096932,-0.0270113,0.00439016,0.0804617,-0.0294804,0.00880844,0.0375922,0.0169384,0.0224036,-0.0228372,-0.00209608,-0.0232344,7.91997,-0.0220144,0.00329496,-0.0259222,0.0545644,-0.571732,-0.524712,-0.221851,-0.0339111,-0.4265,-0.377613,1.04382,0.626371,0.83378,-0.0268983,0.113854,0.216494,-0.0669273,0.0239002,0.120363,0.0395209,0.0197886,-0.1809,-0.0797709,-0.3066
5429.05,0.95074,0.55095,3,7,0,-5419.24,-1.55843,-0.0130295,0.0257386,0.129899,-0.105312,-0.169602,-0.0445291,0.0249526,-0.14343,-0.0664618,-0.0753352,0.1106,0.153745,0.0540861,-0.0124439,0.0198748,0.0716578,-0.0272124,-0.00285219,0.0236017,0.0118279,0.0119734,-0.00164784,-0.0109799,-0.0212333,7.77362,0.0129052,0.000512483,-0.06856,0.0372887,-0.624732,-0.448441,-0.168155,-0.072306,-0.47702,-0.323586,0.913257,0.712694,0.478811,-0.0121548,0.135281,0.19336,-0.0629915,-0.00391094,0.0846786,0.0421107,0.0141435,-0.0587729,-0.232203,-0.280193
